Key,TEST_RULE,ACT_English,ACT_Math,ACT_Reading,ACT_Science_Reasoning,ACT_Composite,ACT_Combined English_Writing,TEST_RULE,SAT_Critical_Reading,SAT_Mathematics,SAT_Writing
778282,ACT,33,23,34,26,29,30,SAT,590,490,580
778675,,,,,,,,SAT,570,510,540
779873,ACT,25,28,30,34,29,24,SAT,620,630,630
779918,ACT,33,29,32,30,31,29,SAT,720,770,650
779934,ACT,25,28,26,28,27,24,SAT,620,720,520
780174,ACT,22,25,20,24,23,22,,,,
781008,,,,,,,,SAT,750,740,730
781098,ACT,34,29,33,34,31,,,,,
781154,,,,,,,,SAT,540,660,560
781214,,,,,,,,,,,
781595,,,,,,,,SAT,430,540,440
781901,,,,,,,,,,,
782446,ACT,25,27,25,27,25,21,SAT,550,620,590
782451,ACT,27,27,32,27,28,26,SAT,580,680,550
783119,,,,,,,,,,,
783782,,,,,,,,SAT,650,620,580
785949,ACT,22,33,18,24,24,,SAT,440,780,380
785956,,,,,,,,SAT,550,630,540
786141,ACT,22,26,15,30,23,,SAT,530,620,510
786448,ACT,34,27,31,30,30,33,,,,
789156,,,,,,,,SAT,560,480,470
789305,,,,,,,,SAT,440,520,420
790782,,,,,,,,,,,
790951,ACT,26,28,22,30,27,26,,,,
792981,ACT,23,23,21,22,22,24,,,,
793972,,,,,,,,SAT,560,520,490
795185,,,,,,,,SAT,600,710,650
795314,ACT,24,27,25,25,25,23,SAT,540,580,480
795868,,,,,,,,SAT,690,570,560
796886,ACT,22,28,21,26,24,22,,,,
797826,,,,,,,,SAT,670,540,640
799140,,,,,,,,SAT,620,510,520
799380,ACT,21,25,21,23,23,21,,,,
800607,,,,,,,,SAT,540,520,550
801363,ACT,20,24,19,23,22,19,SAT,430,620,410
801607,,,,,,,,SAT,760,650,720
802433,,,,,,,,SAT,520,770,650
803209,ACT,21,29,30,30,28,22,SAT,530,590,520
803475,ACT,26,25,30,27,26,25,,,,
803536,ACT,27,32,25,27,28,24,,,,
803744,ACT,26,34,31,25,28,22,,,,
803989,ACT,26,30,27,32,28,25,,,,
804264,,,,,,,,SAT,540,420,460
805005,,,,,,,,SAT,560,750,620
805851,ACT,24,26,26,23,25,22,SAT,550,590,560
807616,ACT,23,35,30,25,28,23,,,,
819396,ACT,26,35,22,32,28,23,,,,
819439,,,,,,,,SAT,510,500,560
822914,,,,,,,,SAT,430,690,570
823328,,,,,,,,SAT,500,600,500
824205,,,,,,,,SAT,620,740,730
825585,ACT,31,31,29,29,30,30,,,,
832670,,,,,,,,SAT,460,690,450
837475,,,,,,,,SAT,470,770,680
841282,,,,,,,,SAT,540,720,580
842304,ACT,16,29,18,21,20,16,,,,
842817,,,,,,,,SAT,580,520,540
850323,,,,,,,,,,,
853259,ACT,34,26,34,26,29,29,SAT,620,620,560
853909,,,,,,,,SAT,450,500,400
854613,,,,,,,,SAT,550,530,520
856053,ACT,30,27,33,28,29,,,,,
856271,ACT,29,29,34,33,30,,,,,
856311,ACT,21,32,26,26,26,,,,,
856405,,,,,,,,,,,
856483,,,,,,,,,,,
857926,,,,,,,,SAT,480,590,530
857971,ACT,16,26,22,27,23,,SAT,450,510,400
858058,ACT,23,23,23,22,23,,SAT,550,570,420
858093,ACT,20,27,24,25,24,,,,,
858624,,,,,,,,,,,
858646,ACT,24,26,22,25,24,,,,,
858681,ACT,24,29,29,27,27,,,,,
858706,ACT,27,27,30,27,28,,,,,
858805,,,,,,,,,,,
858899,ACT,27,26,22,18,23,,,,,
858916,ACT,34,36,35,36,35,,,,,
858943,ACT,27,27,33,30,29,,,,,
858970,ACT,31,34,34,31,33,,,,,
858978,,,,,,,,,,,
858996,ACT,26,26,26,26,26,,,,,
859292,,,,,,,,SAT,490,560,540
859870,ACT,27,28,30,24,27,,,,,
860412,ACT,22,23,19,22,22,,SAT,450,550,440
860593,ACT,24,25,26,25,24,,,,,
860748,ACT,23,23,21,24,23,,,,,
860757,,,,,,,,,,,
861388,,,,,,,,,,,
861414,ACT,29,26,30,25,27,27,SAT,640,560,610
862107,ACT,23,20,24,21,22,,,,,
862301,ACT,18,23,20,21,21,,SAT,470,500,490
862333,,,,,,,,SAT,600,590,550
862398,,,,,,,,,,,
862637,ACT,35,34,32,34,32,,,,,
862710,,,,,,,,,,,
862835,ACT,28,28,31,26,28,26,SAT,600,630,620
862865,ACT,22,24,26,22,24,21,SAT,500,500,520
862906,,,,,,,,SAT,450,480,500
863000,,,,,,,,,,,
863024,,,,,,,,,,,
863582,,,,,,,,,,,
863790,ACT,25,26,28,28,27,22,,,,
865224,ACT,26,26,21,24,24,25,,,,
865239,,,,,,,,SAT,560,520,560
865928,ACT,16,17,21,20,19,,,,,
865992,,,,,,,,SAT,470,510,430
866019,,,,,,,,,,,
866574,ACT,26,27,29,26,26,,,,,
866576,ACT,31,29,31,33,31,,,,,
866581,ACT,28,31,30,33,31,,,,,
866583,ACT,35,34,33,36,34,,,,,
866612,ACT,22,29,23,29,26,20,,,,
866629,ACT,26,28,32,25,28,25,SAT,740,650,660
866654,,,,,,,,SAT,600,600,530
866675,ACT,28,26,25,26,26,26,SAT,530,550,470
866682,ACT,23,21,27,22,23,21,SAT,580,540,580
866847,ACT,32,24,27,24,27,,,,,
867005,ACT,24,27,32,23,26,,,,,
867216,,,,,,,,,,,
867241,ACT,25,29,27,27,27,,,,,
867547,ACT,30,30,25,31,28,,,,,
867774,ACT,36,30,35,30,32,,,,,
868161,ACT,23,23,19,23,22,23,,,,
868319,ACT,19,23,29,24,24,,SAT,560,530,460
868362,ACT,19,25,22,25,22,17,SAT,500,600,430
868369,ACT,33,27,29,33,30,31,,,,
868372,,,,,,,,SAT,530,560,610
868413,,,,,,,,,,,
868541,,,,,,,,,,,
868576,ACT,28,26,31,26,28,,SAT,610,590,540
868587,,,,,,,,,,,
868651,ACT,23,18,24,23,22,,,,,
868687,ACT,29,23,25,24,25,,,,,
868726,,,,,,,,SAT,570,590,590
868930,ACT,28,27,30,24,27,,,,,
868932,ACT,30,30,25,28,28,,,,,
868969,,,,,,,,SAT,630,520,630
869016,ACT,27,30,35,26,30,27,SAT,720,600,570
869167,,,,,,,,SAT,500,540,620
869174,,,,,,,,,,,
869240,ACT,26,24,24,23,24,,,,,
869285,,,,,,,,,,,
869408,,,,,,,,,,,
869477,ACT,26,25,26,30,26,,,,,
869529,ACT,26,26,21,27,25,,,,,
869543,ACT,24,25,25,25,23,,,,,
869631,ACT,20,25,29,22,24,,,,,
869725,ACT,25,26,22,24,24,21,SAT,570,590,590
869743,ACT,28,23,33,28,28,,SAT,740,610,610
869789,,,,,,,,,,,
870154,ACT,26,23,30,23,25,,,,,
870257,ACT,27,29,29,28,28,26,SAT,540,630,530
870280,ACT,24,25,22,26,24,19,SAT,480,590,570
870429,,,,,,,,SAT,590,410,450
870467,,,,,,,,,,,
870468,ACT,21,25,28,29,26,,SAT,560,520,350
870511,ACT,27,27,25,25,26,26,SAT,520,620,570
870518,ACT,26,26,22,23,24,24,SAT,520,540,530
870528,,,,,,,,SAT,400,580,450
870590,ACT,35,30,33,29,31,,,,,
870728,ACT,23,24,26,24,23,19,SAT,550,560,560
870879,ACT,18,21,16,16,18,18,SAT,460,480,510
870973,ACT,25,27,30,32,28,23,,,,
871222,ACT,29,28,32,26,29,25,SAT,610,620,620
871590,ACT,30,28,29,31,30,,,,,
871605,ACT,30,32,31,31,31,,,,,
871609,ACT,26,23,28,22,25,,SAT,500,570,550
871759,,,,,,,,SAT,640,700,660
871827,,,,,,,,,,,
871877,,,,,,,,SAT,560,570,600
871948,ACT,22,18,26,21,22,,SAT,600,440,550
871974,ACT,18,21,26,21,22,18,SAT,540,480,460
872054,ACT,28,26,26,25,26,28,SAT,560,530,480
872119,,,,,,,,SAT,540,480,490
872183,,,,,,,,SAT,540,660,590
872229,ACT,34,25,25,29,28,,,,,
872307,ACT,21,24,22,20,22,,SAT,450,530,460
872672,ACT,26,24,31,25,26,24,,,,
873135,ACT,25,24,19,23,23,,SAT,470,560,450
873142,ACT,24,19,27,24,22,18,SAT,440,430,470
873446,ACT,21,32,22,23,25,19,,,,
873913,ACT,20,23,20,21,21,21,SAT,600,510,450
873941,ACT,23,25,22,24,23,23,SAT,560,560,530
874242,ACT,27,33,34,34,32,26,,,,
874305,,,,,,,,SAT,450,510,480
874587,ACT,28,24,30,26,26,24,SAT,590,600,530
875113,ACT,27,29,27,25,26,23,,,,
875443,,,,,,,,SAT,690,740,620
875646,ACT,31,32,26,28,29,30,,,,
875866,,,,,,,,SAT,580,560,580
875973,ACT,30,25,31,26,28,,SAT,670,610,640
876022,ACT,30,27,31,28,28,29,,,,
876091,ACT,29,31,26,26,28,27,SAT,620,620,680
877033,ACT,24,26,24,28,26,,,,,
877064,ACT,20,33,20,31,26,,SAT,520,690,510
877755,ACT,25,25,29,25,25,20,SAT,540,570,530
877772,ACT,21,23,23,23,23,21,SAT,510,560,530
877825,ACT,18,19,24,21,21,,SAT,470,520,450
877922,ACT,31,34,27,32,30,30,,,,
878088,ACT,26,26,29,26,26,,,,,
878106,ACT,30,27,34,33,30,28,,,,
878213,,,,,,,,SAT,490,510,420
878360,ACT,27,28,26,27,27,,,,,
878394,ACT,28,24,32,25,27,24,SAT,650,630,640
878446,ACT,21,22,22,21,22,19,SAT,510,490,480
878614,ACT,35,34,26,28,29,24,,,,
878831,ACT,25,26,27,24,26,,SAT,620,570,650
878914,ACT,19,21,25,23,21,15,,,,
879362,ACT,23,23,27,24,24,22,SAT,560,550,510
879639,ACT,24,23,24,26,23,23,,,,
879871,ACT,34,33,28,30,30,31,SAT,590,680,590
879885,ACT,32,27,32,27,29,,SAT,650,560,600
880506,ACT,29,22,32,25,27,,SAT,580,520,540
880575,ACT,23,23,22,20,22,22,,,,
880579,ACT,33,35,25,33,32,31,SAT,610,770,710
880780,ACT,24,21,25,22,23,,SAT,560,470,580
880783,ACT,24,23,29,23,25,,SAT,500,560,540
880809,,,,,,,,SAT,500,420,410
880942,,,,,,,,SAT,660,610,610
881254,ACT,35,31,29,28,31,,SAT,700,690,690
881936,,,,,,,,SAT,570,460,530
882019,,,,,,,,SAT,550,590,570
882063,ACT,28,27,25,24,26,,,,,
882253,ACT,27,27,31,26,28,26,SAT,640,640,670
882595,ACT,36,28,33,31,32,32,,,,
882769,,,,,,,,SAT,610,590,580
883072,ACT,25,24,35,24,27,24,SAT,620,490,570
883270,ACT,25,26,21,24,24,,SAT,600,620,610
883344,ACT,25,27,32,26,27,,,,,
883631,ACT,23,24,24,24,24,,,,,
885012,ACT,24,25,31,24,24,25,SAT,600,550,610
885117,,,,,,,,SAT,550,580,530
885204,ACT,25,25,21,23,23,24,,,,
885300,,,,,,,,SAT,640,630,660
885345,ACT,29,32,35,33,32,,SAT,620,800,670
885583,ACT,26,26,30,27,27,,,,,
885790,ACT,25,17,29,18,22,,,,,
885908,ACT,27,24,20,25,24,25,SAT,510,580,610
886447,,,,,,,,SAT,560,620,550
886463,ACT,29,31,29,32,30,26,,,,
886668,,,,,,,,SAT,540,760,660
886835,ACT,25,30,35,30,30,,SAT,630,660,580
886896,ACT,25,26,22,25,25,24,,,,
886938,ACT,21,18,22,24,21,,,,,
887833,ACT,28,28,30,29,29,26,,,,
888114,ACT,34,34,35,28,32,33,,,,
888160,ACT,27,24,32,26,27,26,,,,
888164,,,,,,,,SAT,680,690,720
888209,,,,,,,,SAT,600,570,570
888304,ACT,25,26,18,22,23,,SAT,510,630,570
888350,,,,,,,,SAT,420,570,450
888563,,,,,,,,SAT,640,570,570
889507,ACT,34,33,35,34,34,31,,,,
889592,ACT,22,19,23,24,22,20,SAT,550,450,540
889651,ACT,25,25,27,23,25,,SAT,580,560,530
889746,ACT,19,25,24,24,23,,SAT,580,540,470
889753,,,,,,,,SAT,510,600,410
889830,ACT,24,27,28,25,26,,SAT,620,660,550
889889,ACT,26,26,22,24,25,24,,,,
889967,ACT,23,27,25,28,26,23,,,,
890916,,,,,,,,SAT,590,520,540
891316,,,,,,,,SAT,540,530,520
891369,ACT,34,31,34,31,33,32,,,,
891389,,,,,,,,SAT,380,440,410
891656,,,,,,,,SAT,600,760,640
891694,,,,,,,,SAT,510,740,610
891766,ACT,27,29,30,28,29,27,,,,
892062,,,,,,,,SAT,470,400,420
892271,,,,,,,,SAT,580,550,560
892468,,,,,,,,SAT,660,640,680
892650,,,,,,,,SAT,480,500,460
892895,,,,,,,,SAT,510,470,430
893167,ACT,26,28,32,29,29,,SAT,640,610,590
893275,,,,,,,,SAT,550,600,560
893559,ACT,33,30,28,29,30,31,SAT,680,630,700
893792,ACT,24,22,28,23,24,,SAT,600,530,520
894067,ACT,25,29,32,26,28,,SAT,630,660,540
894082,ACT,20,20,23,22,21,,SAT,550,430,530
894211,,,,,,,,SAT,570,640,560
894563,,,,,,,,SAT,530,510,500
894570,,,,,,,,SAT,590,720,640
894668,ACT,26,35,22,25,26,23,,,,
894720,ACT,25,30,23,25,26,25,SAT,550,630,460
894866,ACT,19,23,19,24,21,,,,,
895416,,,,,,,,SAT,570,580,470
896069,ACT,29,29,33,29,30,24,,,,
896849,ACT,22,24,28,22,24,22,,,,
896992,,,,,,,,SAT,680,750,650
897454,ACT,26,24,24,27,25,,SAT,550,580,580
898016,,,,,,,,,,,
898020,,,,,,,,SAT,500,560,440
898640,ACT,23,26,25,25,24,21,,,,
899208,ACT,16,19,18,22,19,,SAT,450,490,460
899402,ACT,17,25,18,22,21,,,,,
899617,,,,,,,,SAT,710,780,800
900271,ACT,25,28,33,26,27,24,,,,
900322,,,,,,,,,,,
900705,,,,,,,,SAT,500,770,660
904274,ACT,24,34,21,28,26,25,,,,
907447,,,,,,,,SAT,610,640,560
907664,ACT,24,31,21,29,26,23,,,,
907996,,,,,,,,SAT,640,710,660
908291,,,,,,,,SAT,500,740,590
910072,ACT,29,31,34,35,31,25,SAT,560,670,550
911336,ACT,21,17,17,18,18,,,,,
912493,,,,,,,,SAT,630,760,690
915127,,,,,,,,SAT,570,770,680
915819,,,,,,,,SAT,330,660,340
915889,,,,,,,,SAT,600,800,720
916458,ACT,25,36,27,31,30,24,,,,
916771,ACT,25,26,24,25,25,,SAT,580,590,540
916797,ACT,24,25,26,31,27,,,,,
917617,,,,,,,,SAT,800,770,570
917720,ACT,29,27,34,28,30,,,,,
918789,ACT,26,35,29,28,30,,,,,
921696,,,,,,,,,,,
921782,,,,,,,,SAT,490,640,530
926173,ACT,29,30,33,33,31,,SAT,650,730,610
926504,,,,,,,,,,,
927159,,,,,,,,,,,
927490,ACT,28,34,27,29,30,,,,,
927825,,,,,,,,SAT,510,700,520
928765,,,,,,,,SAT,660,780,680
928936,ACT,27,35,31,29,31,,,,,
929548,,,,,,,,,,,
931488,ACT,25,28,28,27,27,,,,,
932627,,,,,,,,,,,
933505,ACT,30,23,32,29,27,22,,,,
933586,,,,,,,,SAT,420,740,480
933714,ACT,28,35,29,31,30,24,,,,
934033,,,,,,,,SAT,640,700,620
936881,,,,,,,,,,,
939332,,,,,,,,SAT,520,560,460
939406,,,,,,,,SAT,770,730,780
939783,,,,,,,,,,,
940512,ACT,20,24,20,22,22,,SAT,490,490,560
940522,ACT,27,26,24,26,26,,SAT,540,540,500
941012,,,,,,,,,,,
941109,,,,,,,,,,,
942609,ACT,34,31,30,28,30,,,,,
942882,ACT,24,26,26,23,25,,,,,
943647,,,,,,,,SAT,580,610,550
943672,ACT,28,23,20,24,24,24,,,,
943745,,,,,,,,,,,
943782,ACT,15,18,19,20,18,,,,,
943805,,,,,,,,,,,
944096,,,,,,,,,,,
944105,,,,,,,,,,,
944187,,,,,,,,,,,
944244,ACT,20,27,27,25,25,,,,,
944657,,,,,,,,,,,
944678,,,,,,,,,,,
944729,ACT,23,19,29,24,24,,,,,
944793,,,,,,,,,,,
944845,,,,,,,,,,,
944930,,,,,,,,,,,
944955,,,,,,,,,,,
945001,ACT,24,22,21,23,23,,,,,
945049,,,,,,,,,,,
945061,ACT,27,32,24,29,28,,,,,
945064,ACT,34,26,30,25,29,,,,,
945123,,,,,,,,,,,
945150,ACT,26,28,29,29,28,,SAT,500,520,500
945316,,,,,,,,,,,
945325,,,,,,,,,,,
945331,,,,,,,,,,,
945341,ACT,27,32,31,26,29,,,,,
945440,,,,,,,,,,,
945475,ACT,36,32,33,30,32,,,,,
945509,ACT,20,28,28,26,26,,,,,
945537,,,,,,,,,,,
945555,ACT,27,26,27,25,26,,,,,
945564,,,,,,,,,,,
945611,,,,,,,,,,,
945618,ACT,35,34,31,35,34,,,,,
945629,ACT,27,25,28,23,26,,,,,
945739,ACT,31,33,35,33,33,,,,,
945740,,,,,,,,,,,
945794,,,,,,,,,,,
945822,,,,,,,,,,,
945838,,,,,,,,,,,
946081,ACT,25,29,34,30,28,,,,,
946096,ACT,34,35,36,33,34,,,,,
946120,,,,,,,,,,,
946121,ACT,27,30,31,34,31,,,,,
946146,ACT,27,24,27,25,26,,,,,
946148,ACT,33,34,31,33,31,,,,,
946257,ACT,36,31,34,31,33,,,,,
946273,ACT,27,28,36,29,30,,,,,
946299,,,,,,,,,,,
946359,ACT,24,27,28,25,26,,,,,
946390,,,,,,,,,,,
946410,ACT,32,26,35,30,31,,,,,
946539,,,,,,,,,,,
946591,ACT,34,30,31,29,31,,,,,
946635,ACT,31,35,30,33,32,,,,,
946637,ACT,25,30,33,33,30,,,,,
946639,,,,,,,,,,,
946760,ACT,27,29,33,28,29,,,,,
946947,ACT,22,24,26,23,24,,,,,
947028,,,,,,,,,,,
947088,ACT,24,26,23,22,24,,,,,
947125,,,,,,,,,,,
947128,,,,,,,,,,,
947134,ACT,23,23,23,22,23,,,,,
947138,,,,,,,,,,,
947165,ACT,33,30,32,29,31,,,,,
947226,ACT,24,30,29,31,29,,,,,
947308,ACT,24,31,27,33,29,,,,,
947331,ACT,32,28,31,25,29,,,,,
947416,ACT,30,30,28,26,28,,,,,
947420,,,,,,,,,,,
947425,,,,,,,,,,,
947435,ACT,26,31,34,31,30,,,,,
947477,ACT,34,30,30,28,31,,,,,
947500,,,,,,,,,,,
947685,,,,,,,,,,,
947697,ACT,16,24,23,26,22,,,,,
947698,,,,,,,,,,,
947700,,,,,,,,,,,
947701,ACT,25,28,29,31,28,,,,,
947720,,,,,,,,,,,
947748,,,,,,,,,,,
947755,ACT,24,23,31,21,25,,,,,
947778,ACT,31,29,35,25,30,,,,,
947785,,,,,,,,,,,
947864,ACT,31,31,35,35,33,,,,,
947892,ACT,29,28,29,31,29,,,,,
948000,,,,,,,,,,,
948018,ACT,26,35,28,30,29,,,,,
948042,,,,,,,,,,,
948098,ACT,22,22,30,26,24,,,,,
948104,,,,,,,,,,,
948108,ACT,24,24,31,25,26,,,,,
948179,ACT,33,28,32,30,31,,,,,
948193,,,,,,,,,,,
948318,ACT,25,26,25,25,25,,,,,
948336,ACT,26,30,28,27,28,,,,,
948345,ACT,29,27,33,24,28,,,,,
948377,ACT,24,31,24,31,27,,,,,
948470,,,,,,,,,,,
948947,,,,,,,,,,,
948985,,,,,,,,,,,
949014,ACT,30,24,31,25,27,,,,,
949030,,,,,,,,,,,
949071,,,,,,,,,,,
949154,,,,,,,,,,,
949156,ACT,35,28,32,32,32,,SAT,580,470,510
949216,ACT,32,28,32,25,29,,,,,
949278,ACT,27,35,28,28,30,,,,,
949293,ACT,35,35,30,35,33,,,,,
949304,,,,,,,,,,,
949369,ACT,25,26,22,27,25,,,,,
949403,,,,,,,,,,,
949409,ACT,36,27,31,28,31,,,,,
949436,ACT,32,31,35,33,33,,,,,
949457,,,,,,,,,,,
949537,ACT,25,33,22,30,28,,,,,
949545,,,,,,,,,,,
949553,ACT,25,28,30,30,28,,,,,
949559,ACT,25,30,29,26,27,,,,,
949561,ACT,22,30,27,33,28,,,,,
949563,ACT,20,27,24,29,25,,,,,
949564,ACT,25,29,26,24,26,,,,,
949588,,,,,,,,,,,
949601,,,,,,,,,,,
949608,,,,,,,,,,,
949618,ACT,29,31,30,26,28,,,,,
949627,ACT,34,34,31,35,34,,,,,
949658,ACT,33,32,29,26,29,,,,,
949660,ACT,23,27,23,25,24,,,,,
949679,ACT,35,35,28,33,33,,,,,
949691,ACT,26,31,29,36,29,,,,,
949706,,,,,,,,,,,
949717,,,,,,,,,,,
949735,ACT,32,33,33,33,33,,,,,
949824,,,,,,,,,,,
949835,ACT,31,29,34,27,30,,,,,
949836,,,,,,,,,,,
949846,,,,,,,,,,,
950069,ACT,32,29,31,31,31,,,,,
950183,,,,,,,,,,,
950184,,,,,,,,,,,
950223,,,,,,,,,,,
950225,,,,,,,,,,,
950236,ACT,24,31,29,25,27,,,,,
950247,ACT,24,26,31,24,26,,,,,
950384,ACT,22,22,17,25,22,,,,,
950485,,,,,,,,,,,
950527,,,,,,,,,,,
950657,ACT,27,33,35,35,33,,,,,
950763,ACT,34,30,36,33,33,,,,,
950785,ACT,30,28,32,28,30,,,,,
950787,ACT,35,28,35,33,33,,,,,
950817,,,,,,,,,,,
950845,ACT,25,28,26,31,28,,,,,
950930,ACT,35,31,33,35,33,,,,,
950958,,,,,,,,,,,
951120,ACT,35,35,36,35,35,,,,,
951150,ACT,31,28,29,24,28,,,,,
951463,,,,,,,,,,,
951471,ACT,34,29,33,26,31,,SAT,760,670,660
951482,ACT,32,28,26,28,29,,,,,
951523,,,,,,,,,,,
952696,ACT,31,29,28,26,27,,,,,
952813,,,,,,,,,,,
952919,ACT,27,27,27,23,26,,,,,
952931,,,,,,,,,,,
953063,ACT,33,28,34,34,32,,,,,
953105,,,,,,,,,,,
953112,ACT,19,24,21,22,20,,,,,
953228,ACT,28,27,26,27,26,,,,,
953408,ACT,29,29,29,31,29,,,,,
953451,ACT,35,30,29,30,31,,,,,
953567,ACT,24,22,33,23,26,,,,,
953571,,,,,,,,,,,
953676,ACT,31,29,33,31,31,,,,,
953737,ACT,25,29,35,28,29,,,,,
953899,,,,,,,,,,,
953964,ACT,25,25,30,29,27,,,,,
954034,,,,,,,,,,,
954036,ACT,27,28,34,35,31,,SAT,720,650,530
954078,ACT,24,27,24,25,24,,SAT,440,590,500
954178,,,,,,,,,,,
954196,,,,,,,,,,,
954217,,,,,,,,,,,
954238,ACT,25,24,21,25,24,,,,,
954269,ACT,28,26,30,25,27,,,,,
954331,,,,,,,,,,,
954337,,,,,,,,,,,
954431,,,,,,,,,,,
954448,ACT,34,30,33,34,32,,SAT,660,620,610
954452,ACT,24,24,24,20,23,,,,,
954464,ACT,21,26,24,25,24,,,,,
954486,ACT,29,30,28,27,27,,,,,
954516,ACT,20,24,32,26,26,,,,,
954525,,,,,,,,SAT,580,610,550
954546,ACT,28,24,35,28,29,,SAT,630,610,560
954547,,,,,,,,,,,
954560,,,,,,,,,,,
954576,,,,,,,,,,,
954768,ACT,23,24,22,28,23,,,,,
954834,ACT,35,33,32,33,33,,,,,
954913,,,,,,,,,,,
954916,ACT,24,24,31,30,27,,,,,
954944,,,,,,,,,,,
954953,ACT,30,26,32,26,28,,,,,
954977,,,,,,,,SAT,560,570,540
955070,,,,,,,,,,,
955132,ACT,33,28,30,29,30,,SAT,550,600,520
955137,ACT,23,28,24,33,27,,,,,
955156,ACT,24,27,26,26,26,,,,,
955182,ACT,28,27,30,33,28,,,,,
955204,,,,,,,,,,,
955222,ACT,27,25,25,24,25,,,,,
955237,ACT,26,23,31,26,27,,,,,
955282,ACT,20,21,20,20,20,,SAT,500,430,510
955304,,,,,,,,,,,
955305,ACT,25,29,30,31,29,,,,,
955349,,,,,,,,,,,
955385,ACT,28,29,24,24,26,,,,,
955431,ACT,27,25,26,22,25,,,,,
955532,,,,,,,,,,,
