Key,INSTITUTION_TYPE_DESC,INSTITUTION,INSTITUTION_DESC,MathGPA,MathYrTaken,PhysicsGPA,PhysicsYrTaken,CoreGPA,SCHOOL_GPA,SECONDARY_SCHOOL_GRAD_DATE
005901,High School,070465,New Canaan High School,2.68,5,,1,2.61,3.25,6/1/17
005943,High School,694457,Chengdu No 7 High School,,,,,,3.77,6/1/17
005943,High School,694477,Chengdu No 7 Wanda High School,,,,,,,
005943,High School,UNKHSC,Unknown High School,3.9,5,4,3,3.91,,
005982,High School,070638,Joel Barlow High School,3.41,4,2.7,1,3.27,3.40,6/1/17
006113,High School,UNKHSC,Unknown High School,2.13,4,3,4,3,,7/1/16
006155,High School,697032,Applied Tech HS-Abu Dhabi Boys,3.11,6,,,3.35,3.48,6/1/17
006198,High School,821759,Rockridge Secondary School,4,5,,,2.95,2.98,6/1/17
006198,High School,821780,West Vancouver Secondary Sch,,,,,,,
006218,High School,821262,Heritage Woods,4,5,4,2,3.5,,1/1/17
006257,High School,143097,Mundelein High School,2.17,4,2,1,2.93,3.30,5/1/17
006291,High School,144430,New Trier High School,2.72,4,3.35,1,3.01,3.46,6/1/17
006308,High School,905301,Colegio Aleman Mariscal Braun,4,4,3.75,2,3.56,,11/1/16
006308,High School,UNKHSC,Unknown High School,,,,,,,
006365,High School,141170,Saint Ignatius College Prep,3.2,4,,,3.25,3.31,5/1/17
006411,High School,151225,Andrean High School,3.17,5,,,3.5,4.00,6/1/17
006445,High School,694230,Camford Royal School,4,4,4,1,3.84,,7/1/17
006445,High School,UNKHSC,Unknown High School,,,,,,,
006550,High School,UNKHSC,Unknown High School,3.76,4,4,1,3.75,,5/1/17
006566,High School,671630,Fiitjee Junior College,2.83,4,3.77,2.5,3.26,,4/1/17
006566,High School,UNKHSC,Unknown High School,,,,,,,
006637,High School,200445,Hebron Academy,3.5,4,3.5,1,3.31,,5/1/17
006637,High School,UNKHSC,Unknown High School,,,,,,,
007192,High School,052940,Drew School,3.73,6,4,1,3.37,3.58,6/1/17
007192,High School,053700,Monterey Bay Academy,,,,,,,
007223,High School,500505,St John's Nw Military Academy,3.59,5,4,1,3.22,3.42,5/1/17
007298,High School,141805,York Community High School,3.17,5,,,2.96,3.80,5/1/17
007364,High School,310705,Livingston High School,3,6.5,,,2.96,3.37,6/1/17
007605,High School,050748,Diamond Bar High School,3.34,6,,,3.27,3.49,5/1/17
007653,High School,676003,Sant School,4,5,4,3,3.95,,6/1/16
007662,High School,648128,Hayah International Academy,2.47,4,3,2,2.95,,6/1/17
007711,High School,472279,Oakton High School,3,6,,,3.05,3.65,6/1/17
007804,High School,140905,Jones College Prep,3.14,4,3.5,1,3.63,4.00,6/1/17
008027,High School,470952,Deep Run High School,3.6,7,,,3.56,3.61,6/1/17
008319,High School,142483,Lyons Township High School,3.4,5,,,3.57,4.00,5/1/17
008337,High School,671040,Oakridge International School,3.33,4,4,2,3,,5/1/17
008337,High School,UNKHSC,Unknown High School,,,,,,,
008416,High School,153900,Zionsville Community Hs,3.08,5,2.3,1.5,3.03,3.24,6/1/17
008564,High School,152503,Floyd Central High School,3.55,5,,,3.63,4.00,5/1/17
008728,High School,142300,Hinsdale Central High School,,,,,,,
008728,High School,151041,Fishers High School,3.81,4,3.15,1,3.27,3.59,6/1/17
008728,High School,365700,Boardman High School,,,,,,,
008771,High School,054626,Academy Science & Engineering,4,4,4,1,3.84,,6/1/17
008838,High School,UNKHSC,Unknown High School,3,5,3,1.5,3.29,,6/1/17
009080,High School,050970,Mission San Jose High School,2.8,6,,,3.19,3.49,6/1/17
009138,High School,222088,Lincoln-Sudbury Regional Hs,2.29,5,,1,2.69,2.75,6/4/16
009259,High School,070260,Hamden High School,3.47,5,,,3.48,3.58,6/1/17
009404,High School,664101,American Academy In Tbilisi,3.8,4,4,1,3.69,3.80,6/1/17
009457,High School,050724,Athenian School,2.6,5,2.5,1,2.93,3.25,6/1/17
009457,High School,695514,Shrewsbury International Schl,,,,,,,
009492,High School,682194,North London Collegiate Jeju,3.33,4,2.5,2,3.29,,7/1/17
010052,High School,UNKHSC,Unknown High School,3.66,4,3.33,2.5,3.71,,5/1/17
010194,High School,220848,Marian High School,,,,,,,5/1/17
010194,High School,694337,Senior HS Attached Shangdong U,,,,,,,
010194,High School,999999,Registrar Obsolete High School,,,,,,,
010548,High School,694209,Beijing Royal School,2.86,4,3.25,2,3.1,,6/1/17
010548,High School,UNKHSC,Unknown High School,,,,,,,
011038,High School,694210,Taipei American School,3.57,5,3.5,1,3.22,3.57,5/1/17
011908,High School,UNKHSC,Unknown High School,4,4,4,1,4,,4/1/17
011949,High School,470139,Stone Bridge High School,2.67,7,2.7,1,2.86,3.45,6/1/17
012287,High School,UNKHSC,Unknown High School,3.67,3,3.67,3,3.41,,12/1/16
012429,High School,694517,Qsi Intl School Of Shekou,3.6,6,,,3.69,,6/1/17
012820,High School,697036,Dubai Modern High School,3.33,4,4,0.5,3.83,,4/1/17
013213,High School,694485,Nanjing No 1 High School,4,4,4,3,3.97,,6/1/17
013410,High School,150445,Carmel High School,3.1,4,,,2.92,3.39,5/1/15
013707,High School,051512,Pinewood School,3.16,6.5,3.33,1.5,3.26,4.00,6/1/17
013707,High School,694242,Shanghai High School Intl Div,,,,,,,
015453,High School,UNKHSC,Unknown High School,3.24,4,2.7,0.5,3.58,,
015479,High School,694541,Guangdong Country Garden Sch,3,4.5,3.5,1,2.9,,6/1/17
015786,High School,310315,Pingry School,,,,,,,
015786,High School,311231,Watchung Hills Regional Hs,2.67,5,3.7,1,3.13,3.43,6/1/17
015887,High School,450400,West High School,4,6,,,3.98,3.98,6/1/17
016064,High School,682376,Korea International School,2.9,4,3.7,0.5,3.09,,5/1/17
016069,High School,430902,Berean Academy,,,,,,,
016069,High School,471231,Leesburg Christian School,3.77,4,,1,3.64,,6/1/17
016609,High School,335600,Emma Willard School,2.23,4,,,2.84,,6/1/17
016609,High School,UNKHSC,Unknown High School,,,,,,,
016787,High School,153735,Westfield High School,,,,,,,6/1/16
016871,High School,051008,Sunny Hills High School,2.9,5,,,3.26,4.00,5/1/17
016963,High School,694321,Primacy Collegiate Academy,2.96,5,,0.5,3.07,,5/1/17
017073,High School,694341,Hefei No 8 High School,,,,,,,6/1/17
017073,High School,UNKHSC,Unknown High School,3.59,4,3.2,2.5,3.61,,
017277,High School,UNKHSC,Unknown High School,4,4,4,3,4,,6/1/17
017295,High School,050103,Fairmont Preparatory Academy,3.22,5,,,3.06,,5/1/17
017295,High School,144385,Wheaton Academy,,,,,,,
017295,High School,694307,Shanghai Gezhi High School,,,,,,,
017295,High School,UNKHSC,Unknown High School,,,,,,,
017973,High School,UNKHSC,Unknown High School,4,4,4,3,3.96,,6/1/15
018072,High School,150885,Edinburgh Community Hs,2.98,4,,,2.82,3.27,5/1/17
018720,High School,UNKHSC,Unknown High School,3.83,4,3.67,3,3.75,,6/1/17
018746,High School,052495,Amador Valley High School,2.73,5,,,3.08,3.55,6/1/17
021297,High School,151910,Jefferson High School,3.89,4.5,,,3.97,4.00,6/1/18
021297,High School,UNKHSC,Unknown High School,,,,,,,
021650,High School,070240,Greenwich High School,,,,,,,
021650,High School,130042,Boise High School,3.33,6,,,3.2,3.61,5/1/17
021918,High School,151390,Center Grove High School,,,,,,,6/1/16
022119,High School,100508,Bishop Verot High School,3.17,4,2.5,1,2.62,2.91,5/1/17
022168,High School,151908,Faith Christian School,3.29,5,,,3.5,3.83,5/1/17
022168,High School,233087,New Life Christian Academy,,,,,,,
022397,High School,152950,Rensselaer Central High School,3.17,4,,,3.32,3.87,5/1/17
022748,High School,671608,Sai International School,,,,,,,5/1/15
022838,High School,030696,Campo Verde High School,,,,,,,5/1/12
022838,High School,221198,Longmeadow High School,,,,,,,
023190,High School,150740,Danville Community High School,,,,,,3.23,6/1/16
023374,High School,152995,North Putnam High School,3.71,5,,,3.77,3.89,5/1/15
024956,High School,142590,Lemont Township High School,2.5,4,3.5,1,2.97,3.15,5/1/17
025130,High School,052683,Palos Verdes Peninsula Hs,3.43,5,,,3.61,4.00,6/1/17
025654,High School,151915,Harrison High School,3.13,5,3,1,3.66,3.82,6/1/17
025667,High School,150665,Crawfordsville High School,,,,,,,5/1/16
026379,High School,151035,Forest Park Jr-Sr High,,,,,,2.76,5/1/16
026933,High School,151915,Harrison High School,3.83,3,,,3.62,3.58,5/1/18
026933,High School,632026,Sherborne Qatar,,,,,,,
027375,High School,151041,Fishers High School,3.78,3,,,3.29,3.48,5/1/18
027382,High School,151041,Fishers High School,,,,,,3.60,6/1/18
027395,High School,151041,Fishers High School,,,,,,3.60,6/1/18
027487,High School,151041,Fishers High School,3.95,3,,,3.71,3.77,6/1/18
027608,High School,151041,Fishers High School,3.97,5,,,3.99,4.00,5/1/18
027611,High School,151041,Fishers High School,3.59,4,,,3.17,3.22,6/1/18
027830,High School,040490,Conway High School,,,,,,3.73,5/1/16
027939,High School,151315,Goshen High School,,,,,,3.60,6/1/17
028008,High School,101821,Kings Academy,,,,,,,6/1/14
028008,High School,101835,Cardinal Newman High School,,,,,,,
028008,High School,102381,Oxbridge Academy-Palm Beaches,,,,,,,
028076,High School,152025,Lebanon High School,,,,,,2.70,5/1/16
028216,High School,502094,Sheboygan Area Lutheran Hs,4,3,,,3.84,3.89,5/1/18
028216,High School,502315,Two Rivers High School,,,,,,,
028216,High School,UNKHSC,Unknown High School,,,,,,,
028279,High School,152347,Penn High School,3.57,3,,,3.56,3.88,5/1/18
029182,High School,151041,Fishers High School,3.57,3,,,3.52,3.61,6/1/18
029186,High School,151041,Fishers High School,3.38,4,,,3.64,3.66,5/1/19
029288,High School,151041,Fishers High School,,,,,,3.84,6/1/19
029327,High School,151082,Bishop Dwenger High School,,,,,,3.85,5/1/18
029351,High School,151082,Bishop Dwenger High School,,,,,,3.94,5/1/18
029363,High School,151103,Homestead High School,3.97,5,,,3.93,3.94,6/1/18
029477,High School,151103,Homestead High School,3.3,5,,,3.46,3.52,6/1/18
029703,High School,151365,Greensburg Community Hs,3.12,4,,,3.15,3.32,6/1/18
030131,High School,151103,Homestead High School,3.64,5,,,3.57,3.72,5/1/18
030499,High School,151107,R Nelson Snider High School,3.12,3,,,3.01,3.08,6/1/18
030502,High School,151103,Homestead High School,3.95,3,,,3.75,3.78,6/1/18
030772,High School,HOME,Home School,,,,,,,
030806,High School,151103,Homestead High School,3.39,5,,,3.58,3.66,6/1/19
030985,High School,151915,Harrison High School,,,,,,3.57,6/1/19
031022,High School,270100,Bozeman High School,2.82,4,,,2.92,3.27,6/1/17
031084,High School,153745,West Lafayette Jr-Sr Hs,3.83,3,,,3.67,3.72,5/1/19
031212,High School,142483,Lyons Township High School,,,,,,2.74,5/1/16
031212,High School,UNKHSC,Unknown High School,,,,,,,
031214,High School,153620,Northfield Junior-Senior Hs,3.4,3,,,3.7,3.49,5/1/19
031355,High School,151870,Knox High School,4,4,,,4,4.00,6/1/19
031584,High School,153745,West Lafayette Jr-Sr Hs,2.97,3,,,3.25,3.51,5/1/18
031645,High School,151103,Homestead High School,2.91,4,,,3.09,3.23,6/1/18
031648,High School,151103,Homestead High School,3.83,3,,,3.48,3.51,6/1/18
031676,High School,152489,Munster High School,3.2,4,,,3.28,3.43,6/1/19
031677,High School,152489,Munster High School,3.55,4,,,3.75,3.78,5/1/19
031735,High School,HOME,Home School,2.71,3.5,,,3.33,3.55,5/1/16
031838,High School,151104,Northrop High School,3.9,3.5,,,3.9,3.87,6/1/18
031845,High School,151915,Harrison High School,,,,,,2.77,12/1/15
032303,High School,150245,Boone Grove High School,4,3,,,3.99,3.99,6/1/19
032306,High School,150245,Boone Grove High School,,,,,,,
032306,High School,152474,Indiana Ac Sci/Math/Humanities,3.43,5,,,3.75,3.78,5/1/19
032307,High School,150245,Boone Grove High School,3.96,4,,,3.92,3.94,6/1/19
032310,High School,150245,Boone Grove High School,3.24,4,,,3.44,3.44,5/1/19
032368,High School,150245,Boone Grove High School,3.46,4,,,3.81,4.00,5/1/19
032396,High School,150245,Boone Grove High School,,,,,,3.65,6/1/19
032451,High School,151682,Horizon Christian School,3.89,6,,,3.88,4.00,5/1/18
032451,High School,UNKHSC,Unknown High School,,,,,,,
032791,High School,153177,Trinity Lutheran High School,4,3,,,3.67,3.71,5/1/18
032936,High School,151585,Carroll High School,3.18,4,,,3.15,3.53,6/1/19
033269,High School,153560,Morgan Township School,,,,,,,
033269,High School,153570,Washington Township Hs,2.9,3,,,3.21,3.31,6/1/18
033329,High School,151082,Bishop Dwenger High School,,,,,,4.00,5/1/18
033335,High School,152255,Tippecanoe Valley High School,3.15,5.5,,,3.22,3.24,6/1/18
033347,High School,153620,Northfield Junior-Senior Hs,4,4,,,3.93,3.94,5/1/18
033355,High School,153620,Northfield Junior-Senior Hs,3.97,4.5,,,3.79,3.83,6/1/18
033514,High School,151114,East Allen University,3.14,4,,,3.62,3.70,6/1/18
033519,High School,152710,Norwell High School,3.85,1,,,3.85,3.80,5/1/18
033534,High School,152255,Tippecanoe Valley High School,3.52,3,,,3.61,3.47,5/1/18
033547,High School,151082,Bishop Dwenger High School,,,,,,4.00,5/1/18
033552,High School,152710,Norwell High School,3.81,4,,,3.8,3.84,5/1/18
033666,High School,152495,Northwood High School,3.93,4.5,,,3.94,3.95,6/1/19
033667,High School,152495,Northwood High School,3.89,4.5,,,3.91,3.94,6/1/19
033695,High School,153780,Kankakee Valley High School,3,3,,,3.17,3.15,6/1/18
033708,High School,153780,Kankakee Valley High School,3.83,3,,,3.96,3.96,6/1/19
033769,High School,153780,Kankakee Valley High School,3.26,4,,,3.22,3.44,6/1/19
033778,High School,153780,Kankakee Valley High School,3.39,4,,,3.55,3.62,6/1/19
033784,High School,152495,Northwood High School,4,4.5,,,4,4.00,6/1/19
033797,High School,153780,Kankakee Valley High School,3.5,4,,,3.31,3.71,6/1/19
033903,High School,151104,Northrop High School,3.75,4,,,3.65,3.74,6/1/20
033990,High School,142524,Lakes Community High School,,,,,,3.28,5/1/15
034172,High School,152435,North Newton Junior Senior Hs,4,4,,,3.97,3.98,5/1/19
034230,High School,151528,Highland High School,3.78,3,,,3.81,3.84,6/1/19
034277,High School,153690,Warsaw Community High School,3.46,5,,,3.61,3.72,6/1/18
034330,High School,151528,Highland High School,3.75,4,,,3.57,3.59,6/1/19
034339,High School,151528,Highland High School,3.17,3,,,3.62,3.67,6/1/19
034400,High School,151528,Highland High School,3.51,4,,,3.6,3.64,5/1/18
034457,High School,051333,La Jolla Country Day School,,,,,,4.00,6/1/14
034536,High School,150500,Chesterton High School,3.31,4,,,3.67,3.69,6/1/19
034556,High School,150500,Chesterton High School,3.1,2,,,3.28,3.52,5/1/19
034628,High School,150500,Chesterton High School,3.71,3.5,,,3.71,3.74,6/1/18
034628,High School,671830,Delhi Public School R K Puram,,,,,,,
034628,High School,UNKHSC,Unknown High School,,,,,,,
034650,High School,150500,Chesterton High School,3.68,2,,,3.51,3.62,5/1/19
034793,High School,153565,Valparaiso High School,3.64,5,,,3.67,3.73,6/1/18
034913,High School,153690,Warsaw Community High School,3.7,5,,,3.84,3.89,5/1/18
034942,High School,151104,Northrop High School,3.92,4,,,3.85,3.90,6/1/20
035004,High School,151910,Jefferson High School,2.38,4,,,2.88,3.13,5/1/18
035096,High School,153112,Lake Central High School,3.62,4,,,3.7,3.79,6/1/19
035108,High School,153112,Lake Central High School,3,3,,,2.83,3.16,6/1/18
035141,High School,153112,Lake Central High School,3.92,6,,,3.94,3.95,5/1/19
035152,High School,153112,Lake Central High School,3.95,3,,,3.95,3.96,6/1/19
035242,High School,153690,Warsaw Community High School,4,5,,,4,4.00,6/1/18
035260,High School,150115,Dekalb High School,3.85,4,,,3.92,3.92,5/1/18
035283,High School,150115,Dekalb High School,3,5,,,3.52,3.63,6/1/18
035288,High School,150115,Dekalb High School,2.84,4,,,3.11,3.27,5/1/18
035311,High School,150115,Dekalb High School,3.65,4,,,3.58,3.68,6/1/18
035338,High School,153112,Lake Central High School,3.38,9,,,3.62,3.70,6/1/19
035362,High School,153112,Lake Central High School,2.62,4,,,3.49,3.54,5/1/19
035369,High School,153112,Lake Central High School,3.3,4,,,3.43,3.91,5/1/18
035374,High School,153112,Lake Central High School,2.7,4,,,2.6,2.93,1/1/18
035389,High School,153566,Victory Christian Academy,3.91,4,,,3.85,3.82,5/1/19
035404,High School,153112,Lake Central High School,3.41,4,,,3.63,3.76,6/1/18
035473,High School,150770,Bellmont High School,3.92,4,,,3.89,3.92,5/1/19
035495,High School,150770,Bellmont High School,4,4,,,3.93,3.94,5/1/19
035499,High School,150770,Bellmont High School,3.88,5,,,3.92,3.94,5/1/19
035591,High School,152520,New Prairie High School,3.3,4,,,3.62,3.86,6/1/19
035605,High School,153112,Lake Central High School,3.94,5,,,3.85,3.87,5/1/19
035609,High School,153112,Lake Central High School,,,,,,2.64,12/1/18
035614,High School,153112,Lake Central High School,3.6,5,,,3.78,3.85,6/1/19
035671,High School,UNKHSC,Unknown High School,,,,,,,12/20/13
035675,High School,800250,Queens College,,,,,,,
035675,High School,UNKHSC,Unknown High School,,,,,,,6/1/17
035683,High School,153112,Lake Central High School,3.38,4.5,,,3.13,3.27,5/1/18
035797,High School,153745,West Lafayette Jr-Sr Hs,2.72,4,,,3.15,3.32,5/1/18
035993,High School,141347,Gary Comer College Prep,,,,,,,
035993,High School,150690,Merrillville High School,3.28,3,,,3.62,3.67,5/1/19
036086,High School,150690,Merrillville High School,3.57,3,,,3.54,3.62,5/1/19
036124,High School,150690,Merrillville High School,3.14,2.5,,,3.59,3.60,5/1/19
036256,High School,153565,Valparaiso High School,3.9,3,,,3.71,3.85,5/1/18
036256,High School,159999,GED/TASC In-State,,,,,,3.73,5/24/18
036258,High School,153565,Valparaiso High School,3.18,4,,,3.5,3.57,6/1/18
036387,High School,153625,Wabash High School,3.21,4,,,3.33,3.26,6/1/19
036397,High School,151815,East Noble High School,4,4.5,,,3.95,3.96,6/1/19
036436,High School,153625,Wabash High School,3.12,4,,,3.37,3.45,6/1/19
036459,High School,152375,Heritage Junior Senior Hs,3.96,4,,,3.72,3.82,6/1/19
036543,High School,153565,Valparaiso High School,3.33,3,,,3.55,3.65,5/1/19
036569,High School,151103,Homestead High School,3.74,6,,,3.63,3.71,6/1/19
036572,High School,151103,Homestead High School,3.96,4,,,3.95,3.95,5/1/19
036578,High School,151103,Homestead High School,3.64,6,,,3.7,3.74,6/1/20
036597,High School,151103,Homestead High School,4,3,,,3.9,3.93,6/1/18
036653,High School,153565,Valparaiso High School,3.76,4,,,3.92,3.94,6/1/19
036656,High School,153565,Valparaiso High School,3.43,3,,,3.49,3.56,7/1/18
036792,High School,151990,La Porte High School,,,,,,4.00,6/1/19
036871,High School,153565,Valparaiso High School,3.45,3,,,3.6,3.68,6/1/19
036910,High School,151990,La Porte High School,4,11.5,,,3.98,3.98,6/1/19
036939,High School,152635,Manchester High School,4,3,,,3.99,3.99,5/1/19
037112,High School,152288,Michigan City High School,4,4,,,3.97,3.98,6/1/19
037222,High School,152288,Michigan City High School,3.75,4,,,3.94,3.96,6/1/19
037247,High School,152288,Michigan City High School,3.94,4,,,3.92,3.91,6/1/19
037248,High School,150865,Portage High School,3,4,,,3.32,3.37,6/1/19
037291,High School,152288,Michigan City High School,2.88,4,,,3.56,3.69,6/1/19
037309,High School,150865,Portage High School,3.54,4,,,3.64,4.00,6/1/19
037470,High School,153790,Wheeler High School,2.86,3.5,,,3.35,3.46,6/1/19
037492,High School,153790,Wheeler High School,3.55,4,,,3.34,3.49,6/1/19
037522,High School,153790,Wheeler High School,3.89,4,,,3.95,3.95,6/1/19
037536,High School,153790,Wheeler High School,4,4,,,4,4.00,6/1/19
037575,High School,150865,Portage High School,,,,,,4.00,6/1/19
037609,High School,150865,Portage High School,,,,,,4.00,6/1/19
037724,High School,150865,Portage High School,3.25,4,,,3.67,3.68,6/1/19
037809,High School,150865,Portage High School,2.93,3,,,3.34,3.53,6/1/19
037943,High School,HOME,Home School,4,3,,,4,4.00,5/1/18
038015,High School,232780,New Buffalo Area High School,3.62,4.5,,,3.43,3.66,6/1/19
038080,High School,153393,Wawasee High School,,,,,,,
038080,High School,HOME,Home School,4,4,,,4,4.00,6/1/19
038122,High School,151095,Concordia Lutheran High School,2.77,3,,,3.07,3.12,5/1/18
039237,High School,151605,Huntington North High School,4,3,,,3.98,3.99,5/1/19
039237,High School,UNKHSC,Unknown High School,,,,,,,
039238,High School,151103,Homestead High School,,,,,,4.00,6/1/18
039357,High School,151915,Harrison High School,2.55,3,,,2.94,3.17,6/1/19
039401,High School,151103,Homestead High School,3.46,4,,,3.32,3.51,5/1/19
039437,High School,151605,Huntington North High School,3.75,4,,,3.91,3.94,5/1/19
039501,High School,152545,New Haven High School,4,3,,,3.92,3.93,5/1/19
039540,High School,151103,Homestead High School,3.22,3,,,2.76,3.00,5/1/18
039559,High School,151105,North Side High School,4,4,,,3.9,3.90,5/1/19
039568,High School,151105,North Side High School,,,,,,3.83,6/1/19
039572,High School,151105,North Side High School,2.41,4,,,2.96,3.08,6/1/19
039593,High School,151605,Huntington North High School,3.64,4,,,3.72,3.80,6/1/19
039603,High School,150225,Bluffton High School,,,,,,4.00,6/1/19
039667,High School,151330,Leo Junior-Senior High School,4,5,,,4,4.00,5/1/20
039678,High School,151605,Huntington North High School,3.88,4,,,3.97,3.98,5/1/19
039700,High School,151105,North Side High School,3.38,4,,,3.45,3.59,6/1/19
039930,High School,151095,Concordia Lutheran High School,,,,,,3.81,6/1/19
039933,High School,151605,Huntington North High School,3.38,4,,,3.65,3.79,5/1/19
039933,High School,445565,Plano Senior High School,,,,,,,
040001,High School,151103,Homestead High School,3.67,5,,,3.51,3.63,6/1/19
040197,High School,151113,Wayne High School,3.21,4,,,3.18,3.51,5/1/19
040233,High School,153690,Warsaw Community High School,4,5,,,4,4.00,6/1/19
040342,High School,152255,Tippecanoe Valley High School,3.51,4,,,3.58,3.65,6/1/18
040342,High School,153690,Warsaw Community High School,,,,,,,
040355,High School,150600,Columbia City High School,4,6,,,3.97,3.96,5/1/18
040367,High School,151083,Bishop Luers High School,3.88,3,,,3.88,3.90,5/1/19
040373,High School,152255,Tippecanoe Valley High School,3.54,4,,,3.59,3.64,6/1/18
040387,High School,160387,Pleasant Valley High School,3.72,3,,,3.46,3.72,5/1/18
040389,High School,151080,Mt. Vernon High School,,,,,,3.49,5/1/18
040389,High School,151765,Warren Central High School,,,,,,,
040390,High School,143105,Naperville Central High School,3.67,3,,,3.75,3.82,5/1/18
040396,High School,220700,Duxbury High School,3.66,4,,,3.71,3.77,6/1/18
040406,High School,153105,Perry Central Jr Sr High,3.84,4,,,3.93,3.93,5/1/18
040418,High School,152010,Lawrenceburg High School,2.74,2.5,,,3.28,3.43,6/1/18
040423,High School,150043,Anderson High School,3.76,4,,,3.91,3.93,6/1/18
040434,High School,151080,Mt. Vernon High School,4,5,,,3.99,4.00,5/1/18
040442,High School,151390,Center Grove High School,3.46,5,,,3.5,3.98,5/1/18
040447,High School,150608,Columbus East High School,3.09,4,,,3.46,3.61,6/1/18
040456,High School,263065,Saint Louis University Hs,4,3,,,3.67,3.73,5/1/18
040471,High School,150555,Cascade High School,3.69,4,,,3.74,4.00,6/1/18
040488,High School,HOME,Home School,4,3,,,4,4.00,5/1/18
040491,High School,150042,Highland High School,,,,,,,
040491,High School,150043,Anderson High School,2.9,5,,,3.19,3.38,6/1/18
040496,High School,153105,Perry Central Jr Sr High,3.76,4,,,3.83,3.89,5/1/18
040497,High School,441718,Bishop Lynch High School,3.78,3,,,3.78,3.87,5/1/18
040508,High School,152645,Tri West Hendricks High School,3.8,4,,,3.83,3.88,5/1/18
040509,High School,111983,Lassiter High School,3.18,4,,,3.47,3.58,5/1/18
040518,High School,152100,Lewis Cass Junior Senior Hs,3.94,4,,,3.87,4.00,6/1/18
040526,High School,151910,Jefferson High School,3.67,3,,,3.76,3.82,5/1/18
040528,High School,300044,Bedford High School,2.68,4,,,3.4,2.92,6/1/18
040529,High School,102311,Christian Educators Academy,,,,,,,
040529,High School,152130,Randolph Southern Jr-Sr Hs,4,4,,,4,4.00,6/1/18
040529,High School,UNKHSC,Unknown High School,,,,,,,
040543,High School,153565,Valparaiso High School,4,4,,,3.99,3.98,6/1/18
040544,High School,151045,Hamilton Southeastern Hs,3.54,4,,,3.6,3.70,6/1/18
040563,High School,152347,Penn High School,3.46,4,,,3.73,3.81,6/1/18
040565,High School,182560,Larry Ryle High School,4,3,,,4,4.00,5/1/18
040566,High School,150960,Francis J Reitz High School,4,4,,,3.94,3.95,5/1/18
040570,High School,151651,Roncalli High School,2.68,3,,,2.86,3.23,5/1/18
040575,High School,152560,New Palestine High School,3.98,6,,,3.99,3.99,5/1/18
040586,High School,150803,North Miami High School,3.96,4,,,3.89,3.92,5/1/18
040590,High School,151647,Avon High School,3.79,4,,,3.51,3.65,5/1/18
040612,High School,153180,Tri Central High School,3.38,4,,,3.37,3.47,5/1/18
040621,High School,150555,Cascade High School,4,5,,,4,4.00,6/1/18
040623,High School,222342,Pentucket Regional Senior Hs,,,,,,2.82,6/1/18
040637,High School,151915,Harrison High School,3.67,3,,,3.87,3.91,5/1/18
040648,High School,151390,Center Grove High School,,,,,,3.90,6/1/18
