Key,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,PRIMARY_PROGRAM_IND,CAMPUS,CAMPUS_DESC,COLLEGE,COLLEGE_DESC,MAJOR,MAJOR_DESC,STUDENT_CLASSIFICATION_BOAP,STUDENT_CLASS_BOAP_DESC,STUDENT_STATUS,ENROLLED_IND,REGISTERED_IND
520040,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,CM,Construction Management,04,Sophomore: 45 - 59 hours,AS,Y,Y
527164,202020,Spring 2020,Y,PWL,West Lafayette,ND,Temporary,TPUG,Temporary Undergraduate,02,Freshman: 15 - 29 hours,AS,Y,Y
533865,202010,Fall 2019,Y,PWL,West Lafayette,HH,College of Health & Human Sci,KINE,Kinesiology,06,Junior: 75 - 89 hours,AS,Y,Y
539344,202020,Spring 2020,Y,PWL,West Lafayette,A,College of Agriculture,NREV,Natural Resources& Envrmtl Sci,07,Senior 90 - 104 hours,AS,Y,Y
541641,202020,Spring 2020,Y,PWL,West Lafayette,E,First Year Engineering,ENFY,First Year Engineering,02,Freshman: 15 - 29 hours,AS,Y,Y
542090,202020,Spring 2020,Y,PWL,West Lafayette,PI,Polytechnic Institute,TSCM,Supply Chain Mgmt Tech,04,Sophomore: 45 - 59 hours,AS,Y,Y
542117,202010,Fall 2019,Y,PWL,West Lafayette,E,First Year Engineering,ENFY,First Year Engineering,02,Freshman: 15 - 29 hours,AS,Y,Y
554861,201920,Spring 2019,Y,PWL,West Lafayette,US,Exploratory Studies,UNEX,Explorers,02,Freshman: 15 - 29 hours,AS,Y,Y
554861,202010,Fall 2019,Y,PWL,West Lafayette,LA,College of Liberal Arts,LAUD,General Undecided,02,Freshman: 15 - 29 hours,AS,Y,Y
557287,202110,Fall 2020,Y,PWL,West Lafayette,M,School of Management,INMG,Industrial Management,03,Sophomore: 30 - 44 hours,AS,Y,Y
568105,201920,Spring 2019,Y,PWL,West Lafayette,HH,College of Health & Human Sci,KINE,Kinesiology,08,Senior 105+ hours,AS,Y,Y
571343,202010,Fall 2019,Y,PWL,West Lafayette,S,College of Science,PHYS,Physics,03,Sophomore: 30 - 44 hours,AS,Y,Y
604394,202020,Spring 2020,Y,PWL,West Lafayette,PI,Polytechnic Institute,AVFT,Prof Flight Technology,08,Senior 105+ hours,AS,Y,Y
666410,202010,Fall 2019,Y,PWL,West Lafayette,LA,College of Liberal Arts,LAUD,General Undecided,03,Sophomore: 30 - 44 hours,AS,Y,Y
672210,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,CGTC,Computer Graphics Tech,06,Junior: 75 - 89 hours,AS,Y,Y
676850,201920,Spring 2019,Y,PWL,West Lafayette,EC,School of Elec & Computer Engr,ECEB,Electrical Engineering,07,Senior 90 - 104 hours,AS,Y,Y
686658,202020,Spring 2020,Y,PWL,West Lafayette,E,First Year Engineering,ENFY,First Year Engineering,04,Sophomore: 45 - 59 hours,AS,Y,Y
687538,202110,Fall 2020,Y,PWL,West Lafayette,ND,Temporary,TCPB,Temporary Post-Bacc,08,Senior 105+ hours,AS,Y,Y
688514,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,AVFT,Prof Flight Technology,06,Junior: 75 - 89 hours,AS,Y,Y
691756,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,AVMG,Aviation Management,07,Senior 90 - 104 hours,AS,Y,Y
692812,202010,Fall 2019,Y,PWL,West Lafayette,E,First Year Engineering,ENFY,First Year Engineering,03,Sophomore: 30 - 44 hours,AS,Y,N
692812,202010,Fall 2019,N,PWL,West Lafayette,HH,College of Health & Human Sci,KINE,Kinesiology,03,Sophomore: 30 - 44 hours,AS,Y,N
692812,202010,Fall 2019,N,PWL,West Lafayette,M,School of Management,ENTR,Entrepreneur & Innovation,03,Sophomore: 30 - 44 hours,AS,Y,N
692812,202010,Fall 2019,N,PWL,West Lafayette,M,School of Management,GMGT,General Management,03,Sophomore: 30 - 44 hours,AS,Y,N
692812,202010,Fall 2019,N,PWL,West Lafayette,S,College of Science,MASI,Mathematics/Statistics,03,Sophomore: 30 - 44 hours,AS,Y,N
692812,202010,Fall 2019,N,PWL,West Lafayette,US,Exploratory Studies,UNEX,Explorers,03,Sophomore: 30 - 44 hours,AS,Y,N
693201,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,AVFT,Prof Flight Technology,07,Senior 90 - 104 hours,AS,Y,Y
698820,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,AVFT,Prof Flight Technology,08,Senior 105+ hours,AS,Y,Y
701300,202110,Fall 2020,Y,PWL,West Lafayette,S,College of Science,SUND,Science,08,Senior 105+ hours,AS,Y,Y
703316,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,CM,Construction Management,08,Senior 105+ hours,AS,Y,Y
704213,202020,Spring 2020,Y,PWL,West Lafayette,S,College of Science,CHEM,Chemistry,06,Junior: 75 - 89 hours,AS,Y,Y
706183,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,AVMG,Aviation Management,08,Senior 105+ hours,AS,Y,Y
711953,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,CGTC,Computer Graphics Tech,08,Senior 105+ hours,AS,Y,Y
715766,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,AENT,Aeronautic Engr Technology,06,Junior: 75 - 89 hours,AS,Y,Y
718419,202020,Spring 2020,Y,PWL,West Lafayette,CN,Construction Engineering Mgmt,CNEB,Construction Engineering,05,Junior: 60 - 74 hours,AS,Y,Y
719637,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,CGTC,Computer Graphics Tech,08,Senior 105+ hours,AS,Y,Y
721821,202010,Fall 2019,Y,PWL,West Lafayette,PC,College of Pharmacy,PHAR,Pharmaceutical Sciences,06,Junior: 75 - 89 hours,AS,Y,Y
723883,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,TIET,Industrial Engineering Tech,08,Senior 105+ hours,AS,Y,Y
723883,201920,Spring 2019,N,PWL,West Lafayette,M,School of Management,ENTR,Entrepreneur & Innovation,08,Senior 105+ hours,AS,Y,Y
728060,201920,Spring 2019,Y,PWL,West Lafayette,A,College of Agriculture,LARC,Landscape Architecture,08,Senior 105+ hours,AS,Y,Y
735369,201920,Spring 2019,Y,PWL,West Lafayette,LA,College of Liberal Arts,PHIL,Philosophy,06,Junior: 75 - 89 hours,AS,Y,Y
742799,201920,Spring 2019,Y,PWL,West Lafayette,US,Exploratory Studies,UNEX,Explorers,02,Freshman: 15 - 29 hours,AS,Y,Y
745404,202020,Spring 2020,Y,PWL,West Lafayette,PI,Polytechnic Institute,AUAS,Unmanned Aerial Systems,08,Senior 105+ hours,AS,Y,Y
749707,202020,Spring 2020,Y,PWL,West Lafayette,S,College of Science,CS,Computer Science,07,Senior 90 - 104 hours,AS,Y,Y
751063,202010,Fall 2019,Y,PWL,West Lafayette,PC,College of Pharmacy,PHAR,Pharmaceutical Sciences,03,Sophomore: 30 - 44 hours,AS,Y,Y
760036,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,CM,Construction Management,03,Sophomore: 30 - 44 hours,AS,Y,Y
764605,202110,Fall 2020,Y,PWL,West Lafayette,PI,Polytechnic Institute,WEPD,Web Programming & Design,07,Senior 90 - 104 hours,AS,Y,Y
767736,202020,Spring 2020,Y,PWL,West Lafayette,S,College of Science,IDSC,Interdisciplinary Science,07,Senior 90 - 104 hours,AS,Y,Y
768022,202110,Fall 2020,Y,PWL,West Lafayette,PI,Polytechnic Institute,AENT,Aeronautic Engr Technology,08,Senior 105+ hours,AS,Y,Y
769906,202010,Fall 2019,Y,PWL,West Lafayette,HH,College of Health & Human Sci,KINE,Kinesiology,08,Senior 105+ hours,AS,Y,Y
770427,202010,Fall 2019,Y,PWL,West Lafayette,A,College of Agriculture,BCHM,Biochemistry,08,Senior 105+ hours,AS,Y,Y
771550,202010,Fall 2019,Y,PWL,West Lafayette,HH,College of Health & Human Sci,HSPP,Health Science PreProfessional,06,Junior: 75 - 89 hours,AS,Y,Y
772768,201920,Spring 2019,Y,PWL,West Lafayette,A,College of Agriculture,ASCI,Animal Sciences,07,Senior 90 - 104 hours,AS,Y,Y
773136,201920,Spring 2019,Y,PWL,West Lafayette,HH,College of Health & Human Sci,KINE,Kinesiology,06,Junior: 75 - 89 hours,AS,Y,Y
773255,201920,Spring 2019,Y,PWL,West Lafayette,HH,College of Health & Human Sci,BBS,Brain and Behavioral Sci,06,Junior: 75 - 89 hours,AS,Y,Y
773368,202020,Spring 2020,Y,PWL,West Lafayette,LA,College of Liberal Arts,RELG,Religious Studies,08,Senior 105+ hours,AS,Y,Y
773368,202020,Spring 2020,N,PWL,West Lafayette,HH,College of Health & Human Sci,PSYS,Psychological Sciences,08,Senior 105+ hours,AS,Y,Y
773466,202010,Fall 2019,Y,PWL,West Lafayette,US,Exploratory Studies,UNEX,Explorers,03,Sophomore: 30 - 44 hours,AS,Y,Y
774203,202010,Fall 2019,Y,PWL,West Lafayette,A,College of Agriculture,ASCI,Animal Sciences,05,Junior: 60 - 74 hours,AS,Y,Y
774399,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,TIET,Industrial Engineering Tech,07,Senior 90 - 104 hours,AS,Y,Y
774399,201920,Spring 2019,N,PWL,West Lafayette,PI,Polytechnic Institute,OLSV,Organizational Leadership,07,Senior 90 - 104 hours,AS,Y,Y
774417,201920,Spring 2019,Y,PWL,West Lafayette,HH,College of Health & Human Sci,KINE,Kinesiology,06,Junior: 75 - 89 hours,AS,Y,Y
774620,202020,Spring 2020,Y,PWL,West Lafayette,PI,Polytechnic Institute,ANIM,Animation,04,Sophomore: 45 - 59 hours,AS,Y,Y
775426,202010,Fall 2019,Y,PWL,West Lafayette,HH,College of Health & Human Sci,MLAB,Medical Laboratory Sciences,06,Junior: 75 - 89 hours,AS,Y,Y
776523,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,AVMG,Aviation Management,06,Junior: 75 - 89 hours,AS,Y,Y
776713,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,BCMT,Building Const Mgmt Tech,08,Senior 105+ hours,AS,Y,Y
776762,201920,Spring 2019,Y,PWL,West Lafayette,A,College of Agriculture,ASCI,Animal Sciences,07,Senior 90 - 104 hours,AS,Y,Y
778282,201920,Spring 2019,Y,PWL,West Lafayette,A,College of Agriculture,ASCI,Animal Sciences,08,Senior 105+ hours,AS,Y,Y
778675,202010,Fall 2019,Y,PWL,West Lafayette,A,College of Agriculture,ASCI,Animal Sciences,08,Senior 105+ hours,AS,Y,Y
779873,201920,Spring 2019,Y,PWL,West Lafayette,A,College of Agriculture,NREV,Natural Resources& Envrmtl Sci,08,Senior 105+ hours,AS,Y,Y
779918,201920,Spring 2019,Y,PWL,West Lafayette,S,College of Science,CS,Computer Science,07,Senior 90 - 104 hours,AS,Y,Y
779934,201920,Spring 2019,Y,PWL,West Lafayette,S,College of Science,PLSI,Planetary Sciences,08,Senior 105+ hours,AS,Y,Y
779934,202010,Fall 2019,Y,PWL,West Lafayette,S,College of Science,IDSC,Interdisciplinary Science,08,Senior 105+ hours,AS,Y,Y
780174,201920,Spring 2019,Y,PWL,West Lafayette,A,College of Agriculture,ASCI,Animal Sciences,07,Senior 90 - 104 hours,AS,Y,Y
781008,202010,Fall 2019,Y,PWL,West Lafayette,A,College of Agriculture,PRMD,Pre Veterinary Medicine,07,Senior 90 - 104 hours,AS,Y,Y
781098,202010,Fall 2019,Y,PWL,West Lafayette,S,College of Science,CSHO,Computer Science Honors,07,Senior 90 - 104 hours,AS,Y,Y
781154,202010,Fall 2019,Y,PWL,West Lafayette,HH,College of Health & Human Sci,KINE,Kinesiology,08,Senior 105+ hours,AS,Y,Y
781214,201920,Spring 2019,Y,PWL,West Lafayette,US,Exploratory Studies,UNEX,Explorers,05,Junior: 60 - 74 hours,AS,Y,Y
781595,201920,Spring 2019,Y,PWL,West Lafayette,HH,College of Health & Human Sci,KINE,Kinesiology,06,Junior: 75 - 89 hours,AS,Y,Y
781901,202010,Fall 2019,Y,PWL,West Lafayette,PC,College of Pharmacy,PHAR,Pharmaceutical Sciences,04,Sophomore: 45 - 59 hours,AS,Y,Y
782446,202020,Spring 2020,Y,PWL,West Lafayette,PI,Polytechnic Institute,EETC,Electrical Engr Technology,08,Senior 105+ hours,AS,Y,Y
782446,202020,Spring 2020,N,PWL,West Lafayette,PI,Polytechnic Institute,ICEP,Industry Coop Ed Program,08,Senior 105+ hours,AS,Y,Y
782451,201920,Spring 2019,Y,PWL,West Lafayette,A,College of Agriculture,ASCI,Animal Sciences,05,Junior: 60 - 74 hours,AS,Y,Y
783119,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,METC,Mechanical Engr Technology,05,Junior: 60 - 74 hours,AS,Y,Y
783119,202010,Fall 2019,N,PWL,West Lafayette,M,School of Management,ENTR,Entrepreneur & Innovation,05,Junior: 60 - 74 hours,AS,Y,Y
783782,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,TCED,Technology Education,08,Senior 105+ hours,AS,Y,Y
785949,202010,Fall 2019,Y,PWL,West Lafayette,US,Exploratory Studies,UNEX,Explorers,03,Sophomore: 30 - 44 hours,AS,Y,Y
785956,201920,Spring 2019,Y,PWL,West Lafayette,HH,College of Health & Human Sci,KINE,Kinesiology,08,Senior 105+ hours,AS,Y,Y
786141,202020,Spring 2020,Y,PWL,West Lafayette,PI,Polytechnic Institute,BCMT,Building Const Mgmt Tech,08,Senior 105+ hours,AS,Y,Y
786141,202020,Spring 2020,N,PWL,West Lafayette,M,School of Management,ENTR,Entrepreneur & Innovation,08,Senior 105+ hours,AS,Y,Y
786448,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,VIPI,Virtual Product Integration,06,Junior: 75 - 89 hours,AS,Y,Y
789156,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,BCMT,Building Const Mgmt Tech,07,Senior 90 - 104 hours,AS,Y,Y
789305,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,TCED,Technology Education,08,Senior 105+ hours,AS,Y,Y
790782,202010,Fall 2019,Y,PWL,West Lafayette,A,College of Agriculture,ASCI,Animal Sciences,08,Senior 105+ hours,AS,Y,Y
790951,201920,Spring 2019,Y,PWL,West Lafayette,HH,College of Health & Human Sci,MVMT,Movement & Sport Sciences,08,Senior 105+ hours,AS,Y,Y
792981,201920,Spring 2019,Y,PWL,West Lafayette,HH,College of Health & Human Sci,HSPP,Health Science PreProfessional,07,Senior 90 - 104 hours,AS,Y,Y
793972,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,AVFT,Prof Flight Technology,08,Senior 105+ hours,AS,Y,Y
795185,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,WEPD,Web Programming & Design,07,Senior 90 - 104 hours,AS,Y,Y
795314,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,AUET,Audio Engineering Technology,08,Senior 105+ hours,AS,Y,Y
795868,202110,Fall 2020,Y,PWL,West Lafayette,PI,Polytechnic Institute,WEPD,Web Programming & Design,05,Junior: 60 - 74 hours,AS,Y,Y
796886,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,WEPD,Web Programming & Design,06,Junior: 75 - 89 hours,AS,Y,Y
797826,202020,Spring 2020,Y,PWL,West Lafayette,PI,Polytechnic Institute,WEPD,Web Programming & Design,08,Senior 105+ hours,AS,Y,Y
799140,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,CGTC,Computer Graphics Tech,08,Senior 105+ hours,AS,Y,Y
799380,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,TIET,Industrial Engineering Tech,08,Senior 105+ hours,AS,Y,Y
800607,201920,Spring 2019,Y,PWL,West Lafayette,HH,College of Health & Human Sci,KINE,Kinesiology,03,Sophomore: 30 - 44 hours,AS,Y,Y
801363,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,METC,Mechanical Engr Technology,04,Sophomore: 45 - 59 hours,AS,Y,Y
801607,201920,Spring 2019,Y,PWL,West Lafayette,S,College of Science,BIOL,Biology,07,Senior 90 - 104 hours,AS,Y,Y
802433,201920,Spring 2019,Y,PWL,West Lafayette,EC,School of Elec & Computer Engr,ECEB,Electrical Engineering,08,Senior 105+ hours,AS,Y,Y
803209,201920,Spring 2019,Y,PWL,West Lafayette,A,College of Agriculture,ASCI,Animal Sciences,08,Senior 105+ hours,AS,Y,Y
803209,201920,Spring 2019,N,PWL,West Lafayette,A,College of Agriculture,DSPG,Deans Scholar Program,08,Senior 105+ hours,AS,Y,Y
803475,202010,Fall 2019,Y,PWL,West Lafayette,A,College of Agriculture,ASCI,Animal Sciences,07,Senior 90 - 104 hours,AS,Y,Y
803475,202020,Spring 2020,Y,PWL,West Lafayette,A,College of Agriculture,ASCI,Animal Sciences,08,Senior 105+ hours,AS,Y,Y
803536,201920,Spring 2019,Y,PWL,West Lafayette,LA,College of Liberal Arts,LAUD,General Undecided,06,Junior: 75 - 89 hours,AS,Y,Y
803744,202010,Fall 2019,Y,PWL,West Lafayette,S,College of Science,IDSC,Interdisciplinary Science,08,Senior 105+ hours,AS,Y,Y
803989,201920,Spring 2019,Y,PWL,West Lafayette,S,College of Science,IDSC,Interdisciplinary Science,06,Junior: 75 - 89 hours,AS,Y,Y
804264,201920,Spring 2019,Y,PWL,West Lafayette,A,College of Agriculture,ASCI,Animal Sciences,06,Junior: 75 - 89 hours,AS,Y,Y
805005,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,TCED,Technology Education,06,Junior: 75 - 89 hours,AS,Y,Y
805851,201920,Spring 2019,Y,PWL,West Lafayette,A,College of Agriculture,ASCI,Animal Sciences,06,Junior: 75 - 89 hours,AS,Y,Y
807616,202020,Spring 2020,Y,PWL,West Lafayette,EC,School of Elec & Computer Engr,ECEB,Electrical Engineering,05,Junior: 60 - 74 hours,AS,Y,Y
819396,201920,Spring 2019,Y,PWL,West Lafayette,CH,School of Chemical Engineering,CHE,Chemical Engineering,06,Junior: 75 - 89 hours,AS,Y,Y
819439,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,AVFT,Prof Flight Technology,08,Senior 105+ hours,AS,Y,Y
822914,201920,Spring 2019,Y,PWL,West Lafayette,M,School of Management,MGMT,Management,08,Senior 105+ hours,AS,Y,Y
822914,201920,Spring 2019,N,PWL,West Lafayette,M,School of Management,ACCT,Accounting,08,Senior 105+ hours,AS,Y,Y
822914,201920,Spring 2019,N,PWL,West Lafayette,M,School of Management,IMFE,IM/Financial Engineering,08,Senior 105+ hours,AS,Y,Y
823328,202020,Spring 2020,Y,PWL,West Lafayette,PI,Polytechnic Institute,AVMG,Aviation Management,03,Sophomore: 30 - 44 hours,AS,Y,Y
824205,201920,Spring 2019,Y,PWL,West Lafayette,PC,College of Pharmacy,PHAR,Pharmaceutical Sciences,03,Sophomore: 30 - 44 hours,AS,Y,Y
825585,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,TIET,Industrial Engineering Tech,08,Senior 105+ hours,AS,Y,Y
825585,201920,Spring 2019,N,PWL,West Lafayette,M,School of Management,ENTR,Entrepreneur & Innovation,08,Senior 105+ hours,AS,Y,Y
832670,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,AENT,Aeronautic Engr Technology,08,Senior 105+ hours,AS,Y,Y
832670,202010,Fall 2019,N,PWL,West Lafayette,EU,College of Education,GEES,Gen-Ed Educational Studies,08,Senior 105+ hours,AS,Y,Y
837475,202010,Fall 2019,Y,PWL,West Lafayette,S,College of Science,IDSC,Interdisciplinary Science,08,Senior 105+ hours,AS,Y,Y
837475,202110,Fall 2020,Y,PWL,West Lafayette,S,College of Science,IDSC,Interdisciplinary Science,08,Senior 105+ hours,AS,Y,Y
841282,201920,Spring 2019,Y,PWL,West Lafayette,S,College of Science,MATH,Mathematics,04,Sophomore: 45 - 59 hours,AS,Y,Y
842304,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,AVMG,Aviation Management,04,Sophomore: 45 - 59 hours,AS,Y,Y
842817,201920,Spring 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,GASD,Game Development and Design,08,Senior 105+ hours,AS,Y,Y
850323,201920,Spring 2019,Y,PWL,West Lafayette,A,College of Agriculture,FDSC,Food Science,08,Senior 105+ hours,AS,Y,Y
853259,202010,Fall 2019,Y,PWL,West Lafayette,PI,Polytechnic Institute,CM,Construction Management,05,Junior: 60 - 74 hours,AS,Y,Y
853909,202110,Fall 2020,Y,PWL,West Lafayette,PI,Polytechnic Institute,METC,Mechanical Engr Technology,07,Senior 90 - 104 hours,AS,Y,Y
854613,202010,Fall 2019,Y,PWL,West Lafayette,HH,College of Health & Human Sci,HSPP,Health Science PreProfessional,06,Junior: 75 - 89 hours,AS,Y,Y
