PUID_SIX,High_School,High_School_Name,High_School_Grad_Date,High_School_Graduation_Year,High_School_GPA,SUBJECT,SUBJECT_DESC,YEARS_TAKEN,GRADE,GPA
039427,153480,Westview Jr-Sr High Shcool,"May 1, 2019",2019,3.86,,,,,
039603,150225,Bluffton High School,"June 1, 2019",2019,4,,,,,
039696,151095,Concordia Lutheran High School,"May 1, 2019",2019,3.87,MATH,Academic Math TOTAL,3,,3.67
039933,151605,Huntington North High School,"May 1, 2019",2019,3.79,MATH,Academic Math TOTAL,4,,3.38
039961,151330,Leo Junior-Senior High School,"May 1, 2019",2019,3.4,,,,,
040042,152369,Adams Central High School,"June 1, 2019",2019,3.88,MATH,Academic Math TOTAL,4,,3.61
040214,153690,Warsaw Community High School,"June 1, 2020",2020,3.57,MATH,Academic Math TOTAL,3,,3.33
040544,151045,Hamilton Southeastern Hs,"June 1, 2018",2018,3.7,MATH,Academic Math TOTAL,4,,3.54
040583,142300,Hinsdale Central High School,"May 1, 2018",2018,3.55,MATH,Academic Math TOTAL,3,,3.12
040758,150910,Concord High School,"May 1, 2018",2018,3.66,MATH,Academic Math TOTAL,3,,3.67
040762,151724,Perry Meridian High School,"May 1, 2018",2018,3.01,MATH,Academic Math TOTAL,3,,2.73
040871,152560,New Palestine High School,"May 1, 2018",2018,3.91,MATH,Academic Math TOTAL,5,,3.68
041501,150690,Merrillville High School,"May 1, 2019",2019,3.89,MATH,Academic Math TOTAL,4,,3.75
041741,320059,Bosque School,"May 1, 2018",2018,2.27,MATH,Academic Math TOTAL,3,,2.67
041909,151955,Lakeland High School,"June 1, 2019",2019,4,,,,,
042135,152347,Penn High School,"May 1, 2018",2018,3.29,MATH,Academic Math TOTAL,4,,2.98
042188,153430,Terre Haute South Vigo Hs,"June 1, 2018",2018,3.71,MATH,Academic Math TOTAL,12,,3.82
042426,150970,Mater Dei High School,"May 1, 2018",2018,3.55,MATH,Academic Math TOTAL,4,,3.60
042883,153690,Warsaw Community High School,"June 1, 2018",2018,3.74,MATH,Academic Math TOTAL,4,,3.42
042896,151241,Thea Bowman Leadership Acad,"June 1, 2020",2020,3.64,MATH,Academic Math TOTAL,4.5,,3.81
043276,150669,Southmont High School,"May 1, 2018",2018,3.84,MATH,Academic Math TOTAL,3,,3.63
043454,151936,McCutcheon High School,"June 1, 2018",2018,3.95,MATH,Academic Math TOTAL,4,,4.00
043547,150608,Columbus East High School,"June 1, 2018",2018,3.96,MATH,Academic Math TOTAL,3,,3.85
043896,153900,Zionsville Community Hs,"June 1, 2018",2018,4,MATH,Academic Math TOTAL,3,,3.95
044239,152489,Munster High School,"June 1, 2018",2018,3,,,,,
044297,HOME,Home School,"May 1, 2018",2018,3.75,,,,,
044614,153690,Warsaw Community High School,"June 1, 2019",2019,3.54,MATH,Academic Math TOTAL,5,,3.07
044632,151105,North Side High School,"June 1, 2019",2019,3.31,MATH,Academic Math TOTAL,5,,3.26
045759,151671,Charles A Tindley Accelerated,"May 1, 2018",2018,3.8,MATH,Academic Math TOTAL,3,,3.67
045903,151906,Central Catholic Junior-Senior,"June 1, 2018",2018,3.55,MATH,Academic Math TOTAL,4,,3.16
046240,150335,Brownsburg High School,"June 1, 2018",2018,4,,,,,
047113,153180,Tri Central High School,"May 1, 2018",2018,3.92,MATH,Academic Math TOTAL,4,,3.92
047184,445578,John Paul II High School,"May 1, 2018",2018,3.41,MATH,Academic Math TOTAL,4,,3.54
047377,151875,Kokomo High School,"June 1, 2018",2018,3.53,MATH,Academic Math TOTAL,4,,3.62
047401,151710,Lawrence Central High School,"June 1, 2018",2018,,,,,,
047753,151660,Cathedral High School,"May 1, 2018",2018,3.92,,,,,
047897,142030,Georgetown-Ridge Farm Hs,"May 1, 2018",2018,3.77,MATH,Academic Math TOTAL,4,,3.75
048088,143496,Plainfield South High School,"May 1, 2018",2018,3.86,MATH,Academic Math TOTAL,3,,4.00
048092,143550,Adlai E Stevenson High School,"May 1, 2018",2018,3.41,MATH,Academic Math TOTAL,3,,3.07
048717,140534,Glenbard North High School,"May 1, 2018",2018,4,,,,,
048726,152852,Plainfield High School,"May 1, 2018",2018,3.7,MATH,Academic Math TOTAL,4,,3.68
049358,151647,Avon High School,"May 1, 2018",2018,3.8,,,,,
049964,152735,Benton Central Senior Hs,"June 1, 2018",2018,3.96,MATH,Academic Math TOTAL,4,,4.00
050430,152115,Lowell High School,"May 1, 2018",2018,3.55,,,,,
050436,151936,McCutcheon High School,"June 1, 2018",2018,3.48,MATH,Academic Math TOTAL,4,,3.25
050540,151045,Hamilton Southeastern Hs,"June 1, 2018",2018,3.32,MATH,Academic Math TOTAL,3,,3.05
050595,141044,Mother McAuley High School,"May 1, 2018",2018,3.11,MATH,Academic Math TOTAL,3,,2.90
050679,151585,Carroll High School,"June 1, 2018",2018,3.38,MATH,Academic Math TOTAL,4,,3.25
051564,151045,Hamilton Southeastern Hs,"June 1, 2018",2018,3.44,MATH,Academic Math TOTAL,4,,3.22
052310,151041,Fishers High School,"June 1, 2018",2018,3.06,MATH,Academic Math TOTAL,3,,2.45
052457,143170,Lincoln-Way Central Hs,"May 1, 2018",2018,3.98,MATH,Academic Math TOTAL,3,,3.80
052964,152900,Jay County High School,"May 1, 2018",2018,3.74,MATH,Academic Math TOTAL,3.75,,3.58
053095,150448,University High School Indiana,"June 1, 2018",2018,3.09,MATH,Academic Math TOTAL,3,,2.82
053098,152288,Michigan City High School,"June 1, 2017",2017,,,,,,
053303,470469,Grassfield High School,"June 1, 2018",2018,4,MATH,Academic Math TOTAL,3,,4.00
053763,143927,Niles North High School,"May 1, 2018",2018,3.65,MATH,Academic Math TOTAL,3,,3.67
053773,335435,Suffern High School,"June 1, 2018",2018,3.46,MATH,Academic Math TOTAL,3,,2.78
053829,151936,McCutcheon High School,"June 1, 2018",2018,3.51,MATH,Academic Math TOTAL,4,,3.20
054071,150610,Columbus North High School,"June 1, 2018",2018,3.79,MATH,Academic Math TOTAL,3,,3.80
054104,151712,Lawrence North High School,"June 1, 2018",2018,3.6,,,,,
054497,671065,AMS P Obul Reddy Public School,"June 1, 2017",2017,4,MATH,Academic Math TOTAL,4,,4.00
055359,152347,Penn High School,"May 1, 2018",2018,3.68,MATH,Academic Math TOTAL,4,,3.12
055469,150960,Francis J Reitz High School,"May 1, 2018",2018,3.85,MATH,Academic Math TOTAL,4,,4.00
055820,152347,Penn High School,"June 1, 2018",2018,3.43,MATH,Academic Math TOTAL,4,,3.12
056058,150445,Carmel High School,"June 1, 2018",2018,3.72,MATH,Academic Math TOTAL,3,,3.60
056114,210510,Howard High School,"May 1, 2018",2018,3.9,MATH,Academic Math TOTAL,3,,3.83
056352,152295,Northridge High School,"June 1, 2018",2018,4,MATH,Academic Math TOTAL,4,,4.00
056904,181440,Paul Laurence Dunbar Hs,"May 1, 2018",2018,3.97,MATH,Academic Math TOTAL,4,,3.91
057234,151906,Central Catholic Junior-Senior,"June 1, 2018",2018,2.61,MATH,Academic Math TOTAL,3,,1.72
057245,471348,Stonewall Jackson High School,"June 1, 2018",2018,3.26,,,,,
057385,070670,Ethel Walker School,"June 1, 2018",2018,3.2,MATH,Academic Math TOTAL,3,,3.12
058353,150495,Eastern Hancock High School,"June 1, 2018",2018,3.99,MATH,Academic Math TOTAL,3,,3.50
058451,151175,Franklin Community High School,"June 1, 2018",2018,3.13,MATH,Academic Math TOTAL,5,,2.73
058590,151669,Herron High School,"May 1, 2018",2018,4,,,,,
058730,152295,Northridge High School,"June 1, 2018",2018,3.5,MATH,Academic Math TOTAL,2,,2.90
059361,150520,Churubusco High School,"June 1, 2018",2018,3.97,MATH,Academic Math TOTAL,3,,4.00
059370,335215,Saint Anthonys High School,"June 1, 2018",2018,3.81,,,,,
059743,152515,Castle High School,"May 1, 2018",2018,3.49,MATH,Academic Math TOTAL,4,,3.12
059787,230355,Cranbrook Kingswood School,"June 1, 2018",2018,3.74,MATH,Academic Math TOTAL,3,,3.90
060676,151915,Harrison High School,"June 1, 2018",2018,3.75,MATH,Academic Math TOTAL,4,,3.12
060695,153205,Sheridan High School,"May 1, 2018",2018,3.75,MATH,Academic Math TOTAL,4,,3.42
060944,052058,Campolindo High School,"June 1, 2018",2018,4,MATH,Academic Math TOTAL,3,,3.57
060993,151906,Central Catholic Junior-Senior,"June 1, 2018",2018,3.88,MATH,Academic Math TOTAL,4,,3.64
061079,310830,Moorestown Friends School,"June 1, 2018",2018,2.5,MATH,Academic Math TOTAL,3,,2.17
061173,181440,Paul Laurence Dunbar Hs,"May 1, 2018",2018,4,MATH,Academic Math TOTAL,4,,4.00
061404,101583,Riverview High School,"May 1, 2018",2018,3.4,MATH,Academic Math TOTAL,5.25,,3.62
061871,051330,Bishops School,"June 1, 2018",2018,2.92,MATH,Academic Math TOTAL,3,,2.73
062625,210616,South Hagerstown High School,"June 1, 2018",2018,3.75,,,,,
062702,361573,Northland High School,"June 1, 2018",2018,3.59,MATH,Academic Math TOTAL,4,,2.75
062739,151650,Ben Davis High School,"May 1, 2018",2018,3.34,MATH,Academic Math TOTAL,4,,2.95
062924,151906,Central Catholic Junior-Senior,"June 1, 2018",2018,3.49,MATH,Academic Math TOTAL,3,,3.18
062950,240708,Edina High School,"June 1, 2018",2018,3.3,MATH,Academic Math TOTAL,3,,3.63
063002,052075,Mountain View High School,"June 1, 2018",2018,3.54,MATH,Academic Math TOTAL,4,,3.29
063113,151936,McCutcheon High School,"June 1, 2018",2018,3.67,MATH,Academic Math TOTAL,3,,3.33
064018,141391,Bloom Trail High School,"April 1, 2018",2018,3.48,MATH,Academic Math TOTAL,4.5,,3.27
064053,153900,Zionsville Community Hs,"June 1, 2018",2018,3.62,MATH,Academic Math TOTAL,3,,3.45
064547,150445,Carmel High School,"June 1, 2018",2018,3.48,MATH,Academic Math TOTAL,3,,3.45
065120,143096,Carmel Catholic High School,"May 1, 2018",2018,3.38,MATH,Academic Math TOTAL,3,,3.23
065779,UNKHSC,Unknown High School,"June 1, 2018",2018,3.87,MATH,Academic Math TOTAL,3,,3.53
066374,151416,East Central High School,"May 1, 2018",2018,3.91,MATH,Academic Math TOTAL,3,,4.00
066382,360535,Bluffton High School,"May 1, 2018",2018,2.67,MATH,Academic Math TOTAL,4,,2.52
066715,143245,Oak Park & River Forest Hs,"May 1, 2018",2018,3.45,MATH,Academic Math TOTAL,3,,3.33
066962,151915,Harrison High School,"June 1, 2018",2018,3.28,MATH,Academic Math TOTAL,3,,2.83
067124,543440,Academia Del Perpetuo Socorro,"May 1, 2018",2018,3.96,MATH,Academic Math TOTAL,4,,3.88
067397,UNKHSC,Unknown High School,"June 1, 2018",2018,,,,,,
067672,151350,Greenfield Central High School,"June 1, 2018",2018,3.33,,,,,
068583,053343,Saratoga High School,"June 1, 2018",2018,3.27,MATH,Academic Math TOTAL,4,,2.75
068852,153273,Trinity School At Greenlawn,"May 1, 2018",2018,4,,,,,
069048,151041,Fishers High School,"June 1, 2018",2018,3.67,MATH,Academic Math TOTAL,3,,3.78
069474,152474,Indiana Ac Sci/Math/Humanities,"May 1, 2018",2018,3.48,MATH,Academic Math TOTAL,4,,3.55
069635,143230,Oak Lawn Community High School,"May 1, 2018",2018,3.23,,,,,
069842,150555,Cascade High School,"June 1, 2018",2018,4,MATH,Academic Math TOTAL,4,,4.00
069896,152350,Mitchell High School,"May 1, 2018",2018,3.92,MATH,Academic Math TOTAL,4,,3.96
070568,151528,Highland High School,"June 1, 2018",2018,3.75,MATH,Academic Math TOTAL,4,,3.48
070739,481116,John F Kennedy Catholic HS,"June 1, 2018",2018,3.43,MATH,Academic Math TOTAL,2,,2.68
071173,200830,Waynflete School,"June 1, 2018",2018,3.2,MATH,Academic Math TOTAL,3,,3.53
071231,153795,Whiteland Community Hs,"May 1, 2018",2018,3.75,,,,,
071452,221060,Hopkinton High School,"May 1, 2018",2018,3.52,MATH,Academic Math TOTAL,3,,3.50
071650,151480,Blackford High School,"May 1, 2018",2018,4,MATH,Academic Math TOTAL,5,,3.58
071710,150380,Maconaquah High School,"June 1, 2018",2018,3.79,,,,,
072266,153797,Traders Point Christian Acdmy,"June 1, 2018",2018,3.9,,,,,
072544,142590,Lemont Township High School,"May 1, 2018",2018,4,MATH,Academic Math TOTAL,4.5,,4.00
072644,153485,Indian Creek Senior Hs,"May 1, 2018",2018,3.44,MATH,Academic Math TOTAL,4,,3.11
072725,053320,Santa Monica High School,"June 1, 2018",2018,3.76,MATH,Academic Math TOTAL,3,,3.02
073420,152347,Penn High School,"May 1, 2018",2018,3.58,MATH,Academic Math TOTAL,3,,3.55
073821,052497,Foothill High School,"June 1, 2018",2018,3.91,MATH,Academic Math TOTAL,3,,3.00
074467,153900,Zionsville Community Hs,"June 1, 2018",2018,3.81,MATH,Academic Math TOTAL,3,,3.22
074752,332465,Horseheads High School,"June 1, 2018",2018,3.68,MATH,Academic Math TOTAL,5,,3.40
075676,150335,Brownsburg High School,"June 1, 2018",2018,3.19,MATH,Academic Math TOTAL,3,,2.72
076035,101055,Palmer Trinity School,"May 1, 2018",2018,3.75,MATH,Academic Math TOTAL,4,,3.82
076764,151720,Park Tudor School,"May 1, 2018",2018,3.32,MATH,Academic Math TOTAL,3,,3.05
076877,151758,Hoosier Academies High School,"June 1, 2018",2018,3.99,MATH,Academic Math TOTAL,4,,4.00
078113,152600,New Washington Middle Hs,"June 1, 2018",2018,3.68,MATH,Academic Math TOTAL,4,,3.44
078140,222340,Medway High School,"June 1, 2018",2018,2.85,MATH,Academic Math TOTAL,3,,2.90
079224,153265,Saint Joseph High School,"June 1, 2018",2018,3.23,MATH,Academic Math TOTAL,3,,2.88
079597,151910,Jefferson High School,"June 1, 2018",2018,3.26,MATH,Academic Math TOTAL,3,,3.17
080591,153180,Tri Central High School,"May 1, 2018",2018,3.82,MATH,Academic Math TOTAL,4,,4.00
080711,680620,Saint Marys International Sch,"May 1, 2018",2018,3,MATH,Academic Math TOTAL,2,,2.68
082630,UNKHSC,Unknown High School,"May 1, 2017",2017,3.97,MATH,Academic Math TOTAL,4,,4.00
083468,153393,Wawasee High School,"May 1, 2021",2021,3.98,MATH,Academic Math TOTAL,5.5,,3.95
085542,100123,Pope John Paul II High School,"May 1, 2018",2018,3.63,MATH,Academic Math TOTAL,3,,3.55
087009,151528,Highland High School,"June 1, 2020",2020,3.92,MATH,Academic Math TOTAL,5,,3.84
087147,151915,Harrison High School,"June 1, 2016",2016,2.93,,,,,
087393,151316,Fairfield Jr-Sr High School,"June 1, 2018",2018,3.43,MATH,Academic Math TOTAL,4,,3.42
087684,392295,Linden Hall School For Girls,"May 1, 2018",2018,3.38,MATH,Academic Math TOTAL,3,,2.98
091388,671608,Sai International School,"May 1, 2019",2019,3.81,MATH,Academic Math TOTAL,3,,3.67
092005,694488,Tianjin Foreign Language Schl,"May 1, 2018",2018,3.39,MATH,Academic Math TOTAL,3.5,,3.09
095984,151087,Canterbury School,"June 1, 2019",2019,3.69,MATH,Academic Math TOTAL,3,,3.90
096799,410412,Porter-Gaud School,"June 1, 2018",2018,,,,,,
096884,052058,Campolindo High School,"June 1, 2018",2018,3.16,MATH,Academic Math TOTAL,4,,2.95
097051,151347,South Putnam High School,"May 1, 2018",2018,4,,,,,
097941,151915,Harrison High School,"June 1, 2018",2018,3.78,MATH,Academic Math TOTAL,3,,3.10
098087,050455,Mountain Empire High School,"June 1, 2018",2018,3.85,MATH,Academic Math TOTAL,3.5,,4.00
099933,501157,James Madison Memorial Hs,"June 1, 2018",2018,3.58,MATH,Academic Math TOTAL,3,,3.33
100523,472090,Smithfield High School,"June 1, 2018",2018,3.39,MATH,Academic Math TOTAL,4,,3.18
101373,362650,Hudson High School,"May 1, 2018",2018,3.49,MATH,Academic Math TOTAL,3.5,,3.49
102833,050893,Canyon Crest Academy,"June 1, 2018",2018,3.55,MATH,Academic Math TOTAL,5.5,,3.23
103145,053240,Mater Dei High School,"May 1, 2018",2018,3.64,MATH,Academic Math TOTAL,3,,3.00
103542,151936,McCutcheon High School,"May 1, 2018",2018,3.11,MATH,Academic Math TOTAL,3,,2.50
103731,052248,El Camino High School,"June 1, 2018",2018,3.33,MATH,Academic Math TOTAL,3,,2.62
105237,053091,Leland High School,"June 1, 2018",2018,3.29,MATH,Academic Math TOTAL,5.5,,3.11
105370,694522,Beijing Aidi School,"July 1, 2018",2018,4,,,,,
108107,395110,Waynesburg Central High School,"May 1, 2018",2018,3.94,MATH,Academic Math TOTAL,3,,3.67
110121,151915,Harrison High School,"June 1, 2018",2018,3.5,,,,,
112429,153745,West Lafayette Jr-Sr Hs,"May 1, 2023",2023,4,,,,,
116666,311051,Northern Valley Regional H S,"June 1, 2018",2018,3,,,,,
117085,630705,Adesoye College,"June 1, 2015",2015,,,,,,
117153,152115,Lowell High School,"June 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,3.59
117770,153745,West Lafayette Jr-Sr Hs,"May 1, 2019",2019,3.68,MATH,Academic Math TOTAL,3,,3.00
118482,151910,Jefferson High School,"June 1, 2016",2016,,,,,,
119581,151910,Jefferson High School,"June 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
119761,151041,Fishers High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4.5,,3.67
120697,151041,Fishers High School,"May 1, 2020",2020,2.97,,,,,
121313,HOME,Home School,"May 1, 2018",2018,,,,,,
121380,153745,West Lafayette Jr-Sr Hs,"May 1, 2021",2021,3.42,MATH,Academic Math TOTAL,3,,3.38
121918,151936,McCutcheon High School,"June 1, 2019",2019,3.39,MATH,Academic Math TOTAL,4,,2.75
122128,151915,Harrison High School,"May 1, 2021",2021,3.95,MATH,Academic Math TOTAL,4,,3.84
122494,153745,West Lafayette Jr-Sr Hs,"May 1, 2020",2020,3.83,MATH,Academic Math TOTAL,4,,3.64
122532,151440,Bishop Noll Institute,"June 1, 2020",2020,3.76,MATH,Academic Math TOTAL,4,,3.74
122577,151440,Bishop Noll Institute,"June 1, 2020",2020,3.71,MATH,Academic Math TOTAL,4,,3.50
122612,151605,Huntington North High School,"May 1, 2020",2020,3.98,MATH,Academic Math TOTAL,4,,3.88
122696,150180,South Adams High School,"May 1, 2020",2020,3.88,MATH,Academic Math TOTAL,3,,3.77
122831,152489,Munster High School,"June 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
122834,152489,Munster High School,"June 1, 2020",2020,3.88,MATH,Academic Math TOTAL,4,,3.92
122881,152635,Manchester High School,"May 1, 2020",2020,3.97,MATH,Academic Math TOTAL,3,,4.00
122890,152075,West Noble High School,"June 1, 2020",2020,3.93,MATH,Academic Math TOTAL,4.5,,3.97
122962,151528,Highland High School,"May 1, 2020",2020,3.71,MATH,Academic Math TOTAL,4.25,,3.61
122983,151528,Highland High School,"May 1, 2020",2020,3.78,MATH,Academic Math TOTAL,3,,3.45
122990,150855,East Chicago Central High Schl,"June 1, 2020",2020,3.16,MATH,Academic Math TOTAL,3,,3.05
123037,151087,Canterbury School,"June 1, 2020",2020,3.65,MATH,Academic Math TOTAL,3,,3.78
123088,UNKHSC,Unknown High School,"May 1, 2020",2020,,,,,,
123106,151528,Highland High School,"May 1, 2020",2020,3.92,MATH,Academic Math TOTAL,4,,3.92
123110,151528,Highland High School,"May 1, 2020",2020,3.25,MATH,Academic Math TOTAL,4,,2.88
123111,151528,Highland High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,3,,3.80
123119,151528,Highland High School,"June 1, 2020",2020,3.91,MATH,Academic Math TOTAL,3,,4.00
123448,150865,Portage High School,"June 1, 2020",2020,3.78,MATH,Academic Math TOTAL,3,,3.28
123512,150115,Dekalb High School,"June 1, 2019",2019,3.95,MATH,Academic Math TOTAL,5,,4.00
123741,150690,Merrillville High School,"June 1, 2020",2020,3.75,MATH,Academic Math TOTAL,2,,3.35
123905,152495,Northwood High School,"May 1, 2020",2020,3.95,MATH,Academic Math TOTAL,4.5,,3.86
123973,150865,Portage High School,"June 1, 2020",2020,3.95,MATH,Academic Math TOTAL,4,,3.95
124192,153565,Valparaiso High School,"May 1, 2020",2020,3.99,MATH,Academic Math TOTAL,4,,4.00
124240,153565,Valparaiso High School,"May 1, 2020",2020,3.7,MATH,Academic Math TOTAL,3,,3.83
124243,153565,Valparaiso High School,"May 1, 2019",2019,3.85,MATH,Academic Math TOTAL,3,,3.52
124256,153565,Valparaiso High School,"May 1, 2020",2020,3.82,MATH,Academic Math TOTAL,3,,4.00
124500,153112,Lake Central High School,"June 1, 2019",2019,3.43,MATH,Academic Math TOTAL,2,,2.92
124505,153112,Lake Central High School,"May 1, 2020",2020,3.99,MATH,Academic Math TOTAL,4,,3.96
124529,153775,Westville High School,"June 1, 2020",2020,3.49,MATH,Academic Math TOTAL,3,,3.33
124606,151095,Concordia Lutheran High School,"May 1, 2019",2019,3.26,MATH,Academic Math TOTAL,3,,3.33
124651,153112,Lake Central High School,"May 1, 2019",2019,3.14,,,,,
125106,151082,Bishop Dwenger High School,"May 1, 2020",2020,3.95,MATH,Academic Math TOTAL,4,,3.96
125210,151105,North Side High School,"June 1, 2020",2020,3.37,MATH,Academic Math TOTAL,4,,3.25
125535,151110,South Side High School,"May 1, 2020",2020,3.65,MATH,Academic Math TOTAL,4,,3.55
125617,151330,Leo Junior-Senior High School,"May 1, 2019",2019,3.32,MATH,Academic Math TOTAL,3,,2.93
125882,151082,Bishop Dwenger High School,"May 1, 2020",2020,3.77,MATH,Academic Math TOTAL,4,,3.89
126143,151225,Andrean High School,"May 1, 2020",2020,3.21,MATH,Academic Math TOTAL,3,,2.33
126200,151104,Northrop High School,"June 1, 2020",2020,3.88,MATH,Academic Math TOTAL,4,,3.89
126206,152365,North White Jr Sr High School,,,,,,,,
126426,150600,Columbia City High School,"June 1, 2020",2020,3.98,MATH,Academic Math TOTAL,4,,4.00
126872,151103,Homestead High School,"June 1, 2020",2020,3.84,MATH,Academic Math TOTAL,3,,3.57
127052,152375,Heritage Junior Senior Hs,"June 1, 2020",2020,3.96,MATH,Academic Math TOTAL,4,,4.00
127193,151585,Carroll High School,"June 1, 2020",2020,3.71,MATH,Academic Math TOTAL,4,,3.70
127258,150770,Bellmont High School,"May 1, 2020",2020,3.98,MATH,Academic Math TOTAL,3,,4.00
127439,152710,Norwell High School,"June 1, 2020",2020,3.73,MATH,Academic Math TOTAL,4.5,,3.63
127441,152710,Norwell High School,"June 1, 2020",2020,4,MATH,Academic Math TOTAL,3,,4.00
127979,152710,Norwell High School,"May 1, 2020",2020,3.86,MATH,Academic Math TOTAL,4,,3.80
127990,151815,East Noble High School,"June 1, 2020",2020,3.78,MATH,Academic Math TOTAL,4.5,,3.60
128166,152375,Heritage Junior Senior Hs,"May 1, 2020",2020,3.89,MATH,Academic Math TOTAL,4,,4.00
128193,151104,Northrop High School,"June 1, 2020",2020,3.73,MATH,Academic Math TOTAL,4,,3.50
128424,152710,Norwell High School,"May 1, 2020",2020,3.7,MATH,Academic Math TOTAL,4,,3.62
128629,150600,Columbia City High School,"June 1, 2019",2019,3.68,,,,,
128645,150608,Columbus East High School,"June 1, 2019",2019,3.95,MATH,Academic Math TOTAL,4,,3.92
128667,151330,Leo Junior-Senior High School,"May 1, 2020",2020,3.95,MATH,Academic Math TOTAL,5,,3.97
128749,150608,Columbus East High School,"June 1, 2019",2019,3.61,MATH,Academic Math TOTAL,3,,3.00
129279,150180,South Adams High School,"May 1, 2020",2020,3.76,MATH,Academic Math TOTAL,4,,3.38
