PUID_SIX,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,PRIMARY_PROGRAM_IND,STUDENT_LEVEL,STUDENT_LEVEL_DESC,STUDENT_CLASSIFICATION_BOAP,STUDENT_CLASS_BOAP_DESC,CAMPUS,CAMPUS_DESC,COLLEGE,COLLEGE_DESC,PROGRAM,PROGRAM_DESC,DEGREE,DEGREE_DESC,MAJOR,MAJOR_DESC
042135,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,A,College of Agriculture,ANSC-BS,Animal Sciences-BS,BS,Bachelor of Science,ASCI,Animal Sciences
042188,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,LA,College of Liberal Arts,SOC-BA,Sociology-BA,BA,Bachelor of Arts,LAWS,Law and Society
042896,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIMET-BS,Mech Engr Tech-BS,BS,Bachelor of Science,METC,Mechanical Engr Technology
043547,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,HH,College of Health & Human Sci,HK-BS,Health and Kinesiology-BS,BS,Bachelor of Science,KINE,Kinesiology
044632,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICIT-BS,Comp Info Tech-BS,BS,Bachelor of Science,CNIT,Computer & Information Tech
047377,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,A,College of Agriculture,ANSC-BS,Animal Sciences-BS,BS,Bachelor of Science,ASCI,Animal Sciences
047401,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HLTH-BS,Health Sciences-BS,BS,Bachelor of Science,HSPP,Health Science PreProfessional
047897,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HENV-BS,Health Sci-Environ Health-BS,BSEH,BS in Environmental Health,ENHS,Envr Health Science
048092,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAVMG-BS,Aviation Management-BS,BS,Bachelor of Science,AVMG,Aviation Management
048717,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,A,College of Agriculture,ANSC-BS,Animal Sciences-BS,BS,Bachelor of Science,ASCI,Animal Sciences
048726,202210,Fall 2021,N,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-CERT,Liberal Arts-Cert,CERT,Certificate,CSTN,Cornerstone
048726,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAVFT-BS,Aviation Technology-BS,BS,Bachelor of Science,AVFT,Prof Flight Technology
049358,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,PI,Polytechnic Institute,PITLI-ETE-BS,Technology Education Tch-BS,BS,Bachelor of Science,TCED,Technology Education
050436,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HK-BS,Health and Kinesiology-BS,BS,Bachelor of Science,KINE,Kinesiology
050595,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAVFT-BS,Aviation Technology-BS,BS,Bachelor of Science,AVFT,Prof Flight Technology
051564,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,HH,College of Health & Human Sci,PSYSCI-BS,Psychology Sci-BS,BS,Bachelor of Science,PSYS,Psychological Sciences
052310,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIECET-BS,Electrical Engr Tech-BS,BS,Bachelor of Science,AUET,Audio Engineering Technology
052457,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,HH,College of Health & Human Sci,PSYSCI-BS,Psychology Sci-BS,BS,Bachelor of Science,PSYS,Psychological Sciences
052964,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,HH,College of Health & Human Sci,ATEP-BS,Athletic Training-BS,BS,Bachelor of Science,ATHL,Athletic Training
053095,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HK-BS,Health and Kinesiology-BS,BS,Bachelor of Science,KINE,Kinesiology
053098,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,HH,College of Health & Human Sci,HLSC-BS,Health Sci-Medt and Rad-BS,BS,Bachelor of Science,RADH,Radiological Health Sciences
054071,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HK-BS,Health and Kinesiology-BS,BS,Bachelor of Science,KINE,Kinesiology
054104,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,HH,College of Health & Human Sci,HLTH-BS,Health Sciences-BS,BS,Bachelor of Science,HSPP,Health Science PreProfessional
056058,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,S,College of Science,COMPSCI-BS,Computer Science-BS,BS,Bachelor of Science,CS,Computer Science
057385,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,A,College of Agriculture,ANSC-BS,Animal Sciences-BS,BS,Bachelor of Science,ASCI,Animal Sciences
058353,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,A,College of Agriculture,ANSC-BS,Animal Sciences-BS,BS,Bachelor of Science,ASCI,Animal Sciences
058590,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,A,College of Agriculture,ANSC-BS,Animal Sciences-BS,BS,Bachelor of Science,ASCI,Animal Sciences
059370,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PC,College of Pharmacy,PHAR-BS,Pharmacy-BS,BS,Bachelor of Science,PHAR,Pharmaceutical Sciences
059743,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,PI,Polytechnic Institute,PICIT-BS,Comp Info Tech-BS,BS,Bachelor of Science,CNIT,Computer & Information Tech
060993,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,S,College of Science,BIOLOGY-BS,Biology-BS,BS,Bachelor of Science,HLDS,Health and Disease
061173,202210,Fall 2021,N,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-CERT,Liberal Arts-Cert,CERT,Certificate,CACP,Acting:Comm Thru Performance
061173,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,S,College of Science,COMPSCI-BS,Computer Science-BS,BS,Bachelor of Science,CS,Computer Science
062702,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICGT-BS,Comp Graphics Tech-BS,BS,Bachelor of Science,ANIM,Animation
063113,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PC,College of Pharmacy,PHAR-BS,Pharmacy-BS,BS,Bachelor of Science,PHAR,Pharmaceutical Sciences
064018,202210,Fall 2021,Y,UG,Undergraduate,01,Freshman: 0 - 14 hours,PWL,West Lafayette,E,First Year Engineering,ENGR,Engineering First Year,DS,Degree Seeking,ENFY,First Year Engineering
065779,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,S,College of Science,COMPSCI-BS,Computer Science-BS,BS,Bachelor of Science,CS,Computer Science
066715,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICIT-BS,Comp Info Tech-BS,BS,Bachelor of Science,NENT,Network Engineering Tech
067397,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,S,College of Science,COMPSCI-BS,Computer Science-BS,BS,Bachelor of Science,CS,Computer Science
068583,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,S,College of Science,COMPSCI-BS,Computer Science-BS,BS,Bachelor of Science,CS,Computer Science
069635,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HK-BS,Health and Kinesiology-BS,BS,Bachelor of Science,KINE,Kinesiology
069842,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,HH,College of Health & Human Sci,HK-BS,Health and Kinesiology-BS,BS,Bachelor of Science,KINE,Kinesiology
069896,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HLTH-BS,Health Sciences-BS,BS,Bachelor of Science,HSPP,Health Science PreProfessional
070739,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIALMO-BS,Airline Mgmt and Operations-BS,BS,Bachelor of Science,ALMO,Airline Mgmt & Operations
071173,202210,Fall 2021,N,GR,Graduate,,,PWL,West Lafayette,GR,Graduate School,AAM-MSAAM,Aviation Aero Mgmt-MSAAM,MSAAM,MS in Aviation & Aero Mgmt,AVTH,Aviation Technology
071173,202210,Fall 2021,N,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-CERT,Liberal Arts-Cert,CERT,Certificate,CSTN,Cornerstone
071173,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAVFT-BS,Aviation Technology-BS,BS,Bachelor of Science,AVFT,Prof Flight Technology
071231,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,A,College of Agriculture,ANSC-BS,Animal Sciences-BS,BS,Bachelor of Science,ASCI,Animal Sciences
071452,202210,Fall 2021,N,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-CERT,Liberal Arts-Cert,CERT,Certificate,CSTN,Cornerstone
071452,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAVFT-BS,Aviation Technology-BS,BS,Bachelor of Science,AVFT,Prof Flight Technology
072266,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,HH,College of Health & Human Sci,PSYSCI-BS,Psychology Sci-BS,BS,Bachelor of Science,PSYS,Psychological Sciences
072544,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,A,College of Agriculture,ANSC-BS,Animal Sciences-BS,BS,Bachelor of Science,ASCI,Animal Sciences
076035,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,A,College of Agriculture,ANSC-BS,Animal Sciences-BS,BS,Bachelor of Science,ASCI,Animal Sciences
078113,202210,Fall 2021,N,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,S,College of Science,MATH-BS,Mathematics-BS,BS,Bachelor of Science,MATH,Mathematics
078113,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,S,College of Science,BIOLOGY-BS,Biology-BS,BS,Bachelor of Science,GNTC,Genetics
079597,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICGT-BS,Comp Graphics Tech-BS,BS,Bachelor of Science,ANIM,Animation
083468,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,E,First Year Engineering,ENGR,Engineering First Year,DS,Degree Seeking,ENFY,First Year Engineering
085542,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,A,College of Agriculture,BIOCHEM-BS,Biochemistry-BS,BS,Bachelor of Science,BCHM,Biochemistry
095984,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,HH,College of Health & Human Sci,ATEP-BS,Athletic Training-BS,BS,Bachelor of Science,ATHL,Athletic Training
096799,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,A,College of Agriculture,ANSC-BS,Animal Sciences-BS,BS,Bachelor of Science,ASCI,Animal Sciences
101373,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-UND,Undecided Liberal Arts,DS,Degree Seeking,LAUD,General Undecided
102833,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,PC,College of Pharmacy,PHAR-BS,Pharmacy-BS,BS,Bachelor of Science,PHAR,Pharmaceutical Sciences
103145,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,HH,College of Health & Human Sci,PSYSCI-BS,Psychology Sci-BS,BS,Bachelor of Science,BBS,Brain and Behavioral Sci
103542,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,A,College of Agriculture,ANSC-BS,Animal Sciences-BS,BS,Bachelor of Science,ASCI,Animal Sciences
110121,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,S,College of Science,CHEM-BS,Chemistry-BS,BS,Bachelor of Science,CHEM,Chemistry
112429,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,ND,Temporary,TEMP-UGRAD,Temporary Undergrad,ND,Non Degree,TPUG,Temporary Undergraduate
116666,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HK-BS,Health and Kinesiology-BS,BS,Bachelor of Science,KINE,Kinesiology
117770,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,A,College of Agriculture,ANSC-BS,Animal Sciences-BS,BS,Bachelor of Science,ASCI,Animal Sciences
120697,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIMFET-BS,Mfg Engineering Technology-BS,BS,Bachelor of Science,ROET,Robotics Engr Technology
121313,202210,Fall 2021,N,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-CERT,Liberal Arts-Cert,CERT,Certificate,CMEH,Medical Humanities
121313,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HK-BS,Health and Kinesiology-BS,BS,Bachelor of Science,KINE,Kinesiology
121380,202210,Fall 2021,Y,UG,Undergraduate,01,Freshman: 0 - 14 hours,PWL,West Lafayette,S,College of Science,MATH-BS,Mathematics-BS,BS,Bachelor of Science,MACS,Mathematics-Computer Science
122128,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,S,College of Science,SCI-EDU-BS,Science Education-BS,BS,Bachelor of Science,SIED,Science Education
122577,202210,Fall 2021,N,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PUC,Northwest- Hammond,UC,University College,,,DS,Degree Seeking,RCTR,Regional Campus Transfer
122577,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,S,College of Science,COMPSCI-BS,Computer Science-BS,BS,Bachelor of Science,CS,Computer Science
122881,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,M,School of Management,MGMT-UND,Management Undecided,DS,Degree Seeking,PMIM,Pre Mgmt/Indust Management
123110,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,US,Exploratory Studies,UNIV-EXPLOR,University Explorers,DS,Degree Seeking,UNEX,Explorers
123111,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,S,College of Science,COMPSCI-BS,Computer Science-BS,BS,Bachelor of Science,CS,Computer Science
123448,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,S,College of Science,EAPS-BS,"Erth, Atmos Planetary Sci-BS",BS,Bachelor of Science,ENVG,Environmental Geoscience
123741,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PC,College of Pharmacy,PHAR-BS,Pharmacy-BS,BS,Bachelor of Science,PHAR,Pharmaceutical Sciences
124256,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICGT-BS,Comp Graphics Tech-BS,BS,Bachelor of Science,ANIM,Animation
125617,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-UND,Undecided Liberal Arts,DS,Degree Seeking,LAUD,General Undecided
126200,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,E,First Year Engineering,ENGR,Engineering First Year,DS,Degree Seeking,ENFY,First Year Engineering
126206,202210,Fall 2021,N,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,ND,Temporary,REGTR-UGRD,Reg Campus Transfer Undergrad,DS,Degree Seeking,RCTR,Regional Campus Transfer
126206,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,TLF,Lafayette,PI,Polytechnic Institute,PITLI-ET-BS,Engineering Technology-BS,BS,Bachelor of Science,ENGT,Engineering Technology
127052,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,E,First Year Engineering,ENGR,Engineering First Year,DS,Degree Seeking,ENFY,First Year Engineering
127441,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,S,College of Science,CHEM-BSCHM,Chemistry-BS CHEM,BSCH,BS in Chemistry,BICH,Biochemistry (Chemistry)
128629,202210,Fall 2021,N,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-CERT,Liberal Arts-Cert,CERT,Certificate,CSTN,Cornerstone
128629,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAVFT-BS,Aviation Technology-BS,BS,Bachelor of Science,AVFT,Prof Flight Technology
128645,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,A,College of Agriculture,ANSC-BS,Animal Sciences-BS,BS,Bachelor of Science,ASCI,Animal Sciences
129279,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HLSC-BS,Health Sci-Medt and Rad-BS,BS,Bachelor of Science,RADH,Radiological Health Sciences
129413,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,S,College of Science,EAPS-BS,"Erth, Atmos Planetary Sci-BS",BS,Bachelor of Science,PLSI,Planetary Sciences
129690,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,E,First Year Engineering,ENGR,Engineering First Year,DS,Degree Seeking,ENFY,First Year Engineering
129700,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICM-BS,Construct Mgmt Tech-BS,BS,Bachelor of Science,CM,Construction Management
131381,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HLTH-BS,Health Sciences-BS,BS,Bachelor of Science,HSPP,Health Science PreProfessional
131460,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HLTH-BS,Health Sciences-BS,BS,Bachelor of Science,HSPP,Health Science PreProfessional
131539,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,A,College of Agriculture,ANSC-BS,Animal Sciences-BS,BS,Bachelor of Science,ASCI,Animal Sciences
131648,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HLTH-BS,Health Sciences-BS,BS,Bachelor of Science,HSPP,Health Science PreProfessional
131755,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,A,College of Agriculture,ANSC-BS,Animal Sciences-BS,BS,Bachelor of Science,ASCI,Animal Sciences
131922,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,PI,Polytechnic Institute,PITLI-ETE-BS,Technology Education Tch-BS,BS,Bachelor of Science,TCED,Technology Education
