PUID_SIX,SATR EBRW,SATR Math,SATR Total,SAT_Critical_Reading_OLD,SAT Mathematics_OLD,ACT English,ACT Math,ACT Reading,ACT Science Reasoning,ACT Composite,ACT Combined English/Writing
059370,640,780,1420,,,,,,,,
059743,660,770,1430,,,,,,,,
059787,,,,,,30,25,32,31,30,
060676,600,700,1300,,,,,,,,
060695,590,560,1150,,,26,20,31,21,25,
060944,,,,,,33,33,33,34,33,
060993,680,630,1310,,,32,26,32,27,29,
061079,,,,,,24,22,24,20,23,
061173,,,,,,36,36,35,35,36,
061404,590,740,1330,,,,,,,,
061871,720,660,1370,,,,,,,,
062625,600,550,1150,,,,,,,,
062702,,,,,,31,30,35,34,33,
062739,550,520,1070,,,,,,,,
062924,600,520,1080,,,,,,,,
062950,,,,,,32,36,36,35,35,
063002,640,790,1430,,,32,32,28,32,31,
063113,530,510,1040,,,,,,,,
064018,690,650,1340,,,,,,,,
064053,,,,,,30,25,31,24,28,
064547,580,580,1160,,,,,,,,
065120,690,760,1410,,,33,33,32,29,31,
065779,660,790,1450,,,,,,,,
066374,520,570,1090,,,25,24,19,23,23,
066382,,,,,,24,27,27,29,25,
066715,,,,,,28,29,30,29,29,
066962,500,590,1090,,,17,23,18,24,21,
067124,700,590,1260,,,,,,,,
067397,620,730,1330,,,,,,,,
067672,580,660,1240,,,,,,,,
068583,640,710,1350,,,,,,,,
068852,,,,,,35,26,34,28,31,
069048,710,590,1300,,,,,,,,
069474,700,580,1280,,,,,,,,
069635,540,480,1020,,,18,18,19,24,20,
069842,700,630,1330,,,33,27,32,27,30,
069896,700,740,1440,,,,,,,,
070568,660,630,1280,,,,,,,,
070739,540,630,1170,,,,,,,,
071173,,,,,,32,24,32,27,29,
071231,620,610,1230,,,,,,,,
071452,,,,,,28,26,30,24,27,
071650,560,570,1110,,,,,,,,
071710,570,610,1180,,,,,,,,
072266,590,600,1190,,,25,25,25,18,23,
072544,,,,,,36,33,32,34,34,
072644,620,560,1180,,,,,,,,
072725,,,,,,35,28,31,31,31,
073420,590,550,1140,,,,,,,,
073821,,,,,,31,29,31,32,31,
074467,,,,,,31,34,35,33,33,
074752,550,590,1090,,,,,,,,
075676,620,560,1180,,,,,,,,
076035,600,670,1260,,,,,,,,
076764,640,680,1320,,,35,31,29,27,30,
076877,750,670,1370,,,35,28,36,34,33,
078113,710,780,1490,,,22,27,33,27,27,
078140,610,620,1230,,,,,,,,
079224,730,640,1360,,,,,,,,
079597,590,640,1230,,,,,,,,
080591,580,600,1180,,,,,,,,
080711,670,570,1240,,,29,25,35,30,30,
082630,700,750,1430,,,,,,,,
083468,700,660,1330,,,,,,,,
085542,600,690,1290,,,,,,,,
087009,680,720,1390,,,,,,,,
087147,,,,360,330,15,17,18,16,17,
087393,530,610,1140,,,,,,,,
087684,600,750,1340,,,,,,,,
091388,510,710,1220,,,,,,,,
092005,620,780,1400,,,,,,,,
095984,,,,,,26,23,32,23,25,
096799,,,,,,35,26,34,27,29,
096884,640,690,1300,,,,,,,,
097051,680,660,1320,,,24,26,28,23,25,
097941,620,610,1230,,,,,,,,
098087,720,640,1360,,,,,,,,
099933,,,,,,26,33,26,27,28,
100523,560,520,1080,,,24,24,23,27,23,
101373,580,650,1230,,,16,24,23,21,21,
102833,670,770,1440,,,,,,,,
103145,620,620,1240,,,,,,,,
103542,490,530,1020,,,,,,,,
103731,580,590,1150,,,,,,,,
105237,,,,,,34,30,32,24,29,
105370,,,,,,20,30,25,25,25,
108107,610,620,1230,,,,,,,,
110121,570,640,1210,,,,,,,,
112429,,,,,,,,,,,
116666,600,690,1290,,,,,,,,
117085,,,,,,,,,,,
117153,660,720,,,,,,,,,
117770,690,690,1380,,,,,,,,
118482,,,,,,,,,,,
119581,630,700,1320,,,,,,,,
119761,640,700,1330,,,26,30,30,30,29,
120697,520,600,1120,,,,,,,,
121313,,,,,,,,,,,
121380,660,680,1340,,,34,33,32,33,33,
121918,620,550,1150,,,21,22,24,24,23,
122128,580,660,1240,,,24,28,22,27,25,
122494,730,780,1480,,,33,34,36,33,34,
122532,520,630,1150,,,,,,,,
122577,700,670,1370,,,30,32,34,33,31,
122612,570,650,1220,,,25,29,29,28,28,
122696,650,660,1310,,,,,,,,
122831,700,690,1390,,,36,29,36,31,33,
122834,680,740,1420,,,28,30,29,30,29,
122881,620,630,1220,,,23,31,25,24,26,
122890,690,720,1350,,,32,30,28,28,30,
122962,570,650,1220,,,,,,,,
122983,650,640,1290,,,28,26,26,27,27,
122990,560,610,1160,,,,,,,,
123037,640,660,1300,,,,,,,,
123088,720,670,1370,,,30,24,22,20,24,
123106,710,770,1480,,,,,,,,
123110,660,680,1340,,,26,28,30,31,29,
123111,700,710,1410,,,,,,,,
123119,670,770,1360,,,30,31,27,29,29,
123448,670,540,1210,,,,,,,,
123512,680,700,1380,,,30,28,29,28,29,
123741,610,550,1160,,,24,24,30,23,25,
123905,630,650,1280,,,26,28,32,28,29,
123973,590,600,1190,,,20,26,22,23,23,
124192,680,720,1400,,,34,35,28,31,31,
124240,700,620,1320,,,,,,,,
124243,620,570,1190,,,,,,,,
124256,640,640,1250,,,24,23,27,24,25,
124500,630,610,1240,,,25,28,27,24,26,
124505,780,770,1550,,,35,32,33,34,34,
124529,580,600,1180,,,,,,,,
124606,560,540,1100,,,17,23,19,22,20,
124651,550,490,1140,,,,,,,,
125106,630,670,1300,,,31,32,34,34,31,
125210,640,670,1310,,,,,,,,
125535,740,680,1420,,,,,,,,
125617,540,580,1120,,,,,,,,
125882,590,650,1220,,,,,,,,
126143,540,510,1050,,,15,24,21,21,20,
126200,770,770,1540,,,35,34,36,34,35,
126206,,,,,,,,,,,
126426,550,630,1170,,,22,27,20,25,24,
126872,600,760,1350,,,,,,,,
127052,620,750,1370,,,33,31,26,26,29,
127193,690,650,1340,,,29,29,34,34,32,
127258,,,,,,29,28,34,24,28,
127439,590,560,1150,,,24,27,22,21,24,
127441,660,770,1370,,,,,,,,
127979,660,710,1370,,,,,,,,
127990,,,,,,21,25,24,24,24,
128166,610,610,1220,,,26,27,29,24,26,
128193,620,620,1240,,,24,28,30,24,27,
128424,690,760,1450,,,,,,,,
128629,680,620,1300,,,31,27,33,30,29,
128645,630,660,1280,,,24,21,25,23,23,
128667,600,660,,,,,,,,,
128749,580,560,1140,,,18,23,22,23,21,
129279,620,660,1280,,,,,,,,
129413,480,570,1050,,,,,,,,
129690,490,590,1080,,,,,,,,
129700,580,600,1140,,,,,,,,
129703,680,650,1300,,,33,28,28,21,27,
131077,510,530,1040,,,24,23,22,25,22,
131210,560,540,1100,,,,,,,,
131381,630,630,1260,,,33,27,27,30,29,
131384,580,590,1170,,,23,24,31,28,27,
131460,670,770,1440,,,,,,,,
131539,570,530,1150,,,24,22,30,24,25,
131553,610,580,1180,,,,,,,,
131648,620,680,1270,,,24,28,26,26,26,
131652,610,670,1250,,,,,,,,
131673,570,590,1160,,,24,24,21,29,25,
131689,570,630,1200,,,23,25,22,24,24,
131755,,,,,,30,26,28,30,28,
131803,630,590,1220,,,23,20,32,28,26,
131922,580,640,1220,,,,,,,,
131923,570,660,1230,,,,,,,,
131967,510,680,1160,,,21,27,23,28,25,
132076,620,760,1380,,,30,29,25,27,28,
132078,600,580,1180,,,,,,,,
132125,610,580,1190,,,22,24,23,20,22,
132155,,,,,,32,32,34,35,33,
132268,660,740,1370,,,30,28,28,33,30,
132332,,,,,,31,26,29,26,26,
132396,650,560,1180,,,24,22,30,23,25,
132399,580,600,1180,,,,,,,,
132424,620,680,1260,,,24,25,22,24,24,
132490,,,,,,28,28,28,25,27,
132536,690,640,1290,,,,,,,,
132589,560,630,1170,,,,,,,,
132666,630,740,1370,,,,,,,,
132668,760,670,1430,,,,,,,,
132699,600,580,1170,,,,,,,,
132706,590,580,1170,,,,,,,,
132785,620,740,1360,,,,,,,,
132789,650,600,1250,,,,,,,,
132829,650,740,1390,,,32,28,34,33,32,
132838,510,500,1010,,,,,,,,
132849,610,590,1200,,,23,22,30,23,25,
132862,700,800,1500,,,,,,,,
132946,570,590,1150,,,,,,,,
132958,610,520,1130,,,30,25,32,25,27,
132974,640,710,1330,,,,,,,,
132981,780,710,1490,,,,,,,,
132995,570,560,1130,,,,,,,,
133029,690,690,1380,,,33,35,35,33,34,
133084,610,600,1200,,,19,24,23,27,23,
133220,580,610,1190,,,18,21,16,17,18,
133240,760,780,1540,,,36,33,35,36,35,
133283,,,,,,29,29,28,24,28,
133285,610,630,1240,,,17,24,22,21,21,
133317,,,,,,,,,,,
133361,,,,,,24,31,29,29,27,
133381,570,530,1100,,,21,20,26,23,23,
133567,560,570,1120,,,,,,,,
133572,650,520,1170,,,,,,,,
133830,500,550,1050,,,,,,,,
134023,,,,,,28,26,32,33,30,
134076,550,510,1060,,,25,19,23,24,22,
134215,660,720,1380,,,,,,,,
134280,570,610,1150,,,20,26,19,24,22,
134283,580,560,1110,,,,,,,,
134404,670,630,1260,,,,,,,,
134413,580,570,1120,,,,,,,,
134423,640,570,1210,,,,,,,,
134448,590,570,1150,,,22,20,22,22,22,
134458,,,,,,29,27,33,28,29,
134576,660,580,1240,,,32,22,30,23,27,
134707,580,530,1110,,,,,,,,
134791,,,,,,24,27,32,24,25,
134962,500,550,1050,,,22,22,17,19,20,
135016,570,530,1090,,,,,,,,
135227,580,500,1080,,,19,19,24,19,20,
135545,,,,,,20,23,22,26,22,
135570,620,710,1310,,,25,28,22,22,24,
135789,660,600,1260,,,,,,,,
135808,620,710,1330,,,,,,,,
135834,,,,,,33,33,28,34,32,
135843,480,550,980,,,,,,,,
135846,,,,,,24,26,32,32,29,
135852,720,700,1420,,,30,28,32,27,29,
135860,750,770,1520,,,32,34,35,35,34,
135887,530,590,1120,,,,,,,,
135913,500,490,990,,,,,,,,
135916,680,760,1440,,,,,,,,
135938,610,590,1200,,,,,,,,
136000,660,700,1360,,,29,32,35,33,32,
136017,630,590,1200,,,26,25,25,25,25,
136169,640,710,1350,,,25,32,20,25,26,
136217,,,,,,,,,,,
136241,,,,,,,,,,,
136296,600,570,1150,,,,,,,,
136418,510,600,1110,,,20,23,21,20,21,
136454,,,,,,33,28,32,28,30,
136494,650,550,1190,,,23,21,29,25,25,
136520,720,670,1390,,,36,29,36,33,33,
136558,650,650,1290,,,23,28,28,25,26,
136767,450,560,980,,,,,,,,
136827,660,660,1320,,,29,29,33,33,31,
136890,,,,,,23,25,29,23,25,
137079,660,710,1360,,,28,31,33,28,30,
137329,580,650,1230,,,,,,,,
137351,,,,,,28,26,28,26,26,
137378,670,640,,,,35,30,34,32,32,
137418,,,,,,19,26,25,25,23,
137486,620,680,,,,25,25,35,26,28,
137651,,,,,,29,27,32,25,28,
137659,,,,,,22,26,32,28,27,18
137741,680,680,1360,,,31,28,32,34,30,
137759,520,530,1050,,,,,,,,
137768,570,590,1150,,,22,28,23,28,25,
137965,650,650,1300,,,27,29,31,27,28,
137994,730,580,1310,,,31,27,31,26,29,
138079,580,640,1220,,,24,26,23,26,25,
138135,570,540,1080,,,,,,,,
138141,580,580,1150,,,,,,,,
138152,,,,,,35,33,31,29,30,
138165,630,610,1240,,,,,,,,
138256,560,530,1090,,,,,,,,
138294,590,570,1160,,,24,26,23,21,24,
138304,,,,,,35,29,35,33,33,
138305,660,630,1290,,,,,,,,
138510,650,640,1290,,,22,27,23,22,24,
138524,680,750,1430,,,26,33,25,35,30,
138645,700,790,1490,,,33,33,35,35,34,
138997,660,650,1310,,,,,,,,
139014,660,670,1330,,,,,,,,
139037,640,580,1220,,,,,,,,
139095,590,630,1170,,,,,,,,
139286,600,600,1200,,,,,,,,
139297,690,720,1390,,,30,32,32,29,31,
139397,,,,,,29,27,33,32,30,
139420,700,690,1390,,,32,30,35,28,31,
139451,580,630,1210,,,28,28,30,31,29,
139468,600,670,1270,,,22,28,19,32,25,
139646,,,,,,35,29,33,34,32,
139649,710,690,1400,,,,,,,,
139701,690,640,1330,,,25,29,33,33,29,
139702,600,610,1210,,,,,,,,
139728,,,,,,31,33,32,34,33,
139749,,,,,,35,29,32,34,33,
139797,690,710,1400,,,26,29,32,33,30,
139825,560,600,1160,,,,,,,,
139832,640,650,1290,,,,,,,,
139891,,,,,,35,27,32,28,31,
140091,530,650,1180,,,23,30,21,24,25,
140136,770,750,1520,,,36,29,36,33,33,
140142,,,,,,26,34,30,32,31,
140290,630,520,1150,,,30,19,33,23,26,
140520,610,610,1220,,,21,22,27,25,24,
140543,480,590,1070,,,,,,,,
140568,680,600,1260,680,600,25,26,22,30,26,
140641,520,640,1160,,,,,,,,
140895,700,660,1350,,,,,,,,
140943,640,640,1210,,,25,28,33,34,29,
140944,560,560,1120,,,22,28,31,26,27,
140962,,,,,,33,32,35,35,33,
140971,,,,,,36,26,35,25,30,
141063,,,,,,28,25,34,27,28,
141121,590,640,1200,,,,,,,,
141131,730,750,1480,,,36,33,35,33,34,
141150,670,660,1330,,,24,30,27,25,27,
141164,650,670,1300,,,,,,,,
141349,670,610,1280,,,29,26,33,28,29,
141442,630,650,1280,,,,,,,,
141444,580,600,1170,,,21,24,25,25,23,
141469,680,690,1360,,,,,,,,
141583,550,570,1120,,,19,23,17,26,21,
141688,,,,,,23,26,24,27,25,
141746,690,730,1420,,,35,33,28,29,31,
141788,530,560,1080,,,,,,,,
141808,610,580,1190,,,,,,,,
141866,,,,,,24,27,26,24,24,
141894,,,,,,25,26,29,24,26,
141946,560,510,1040,,,,,,,,
141975,610,600,1210,,,,,,,,
141997,660,590,1250,,,29,26,35,28,29,
142009,620,620,1190,,,,,,,,
142109,640,570,1180,,,24,25,30,25,26,
142192,600,610,1210,,,24,23,22,27,24,
142357,570,640,1200,,,22,20,19,20,20,
142393,710,680,1370,,,30,27,32,27,29,
142441,630,640,1270,,,,,,,,
142739,,,,,,33,27,34,28,30,
142741,610,610,1220,,,22,21,29,24,24,
142958,590,640,1190,,,,,,,,
142997,680,670,1350,,,,,,,,
143011,660,780,1440,,,27,31,32,31,30,
143023,580,660,1240,,,,,,,,
143033,,,,,,22,27,23,25,24,
143161,530,500,1030,,,17,18,21,23,20,
143189,640,670,1310,,,26,31,28,34,29,
143278,,,,,,34,26,30,31,30,
143606,680,580,1260,,,24,23,31,22,25,
143683,,,,,,27,29,31,30,29,
143687,560,550,1110,,,24,23,23,23,23,
143845,700,610,1310,,,,,,,,
143847,690,640,1330,,,,,,,,
143909,680,680,1360,,,29,28,35,27,30,
143931,620,730,1340,,,26,33,25,28,28,
143969,600,660,1260,,,26,28,32,26,27,
144136,630,660,1240,,,,,,,,
144163,720,600,1320,,,34,27,34,33,31,
144165,,,,,,24,23,30,22,24,
144199,670,740,1350,,,,,,,,
144213,560,560,1100,,,21,17,20,21,20,
144273,770,780,1480,,,34,26,31,30,30,
144296,590,570,1130,,,,,,,,
144508,,,,,,20,23,17,22,21,
144524,680,680,1360,,,26,28,29,29,27,
144655,530,600,1130,,,,,,,,
144688,680,680,1360,,,,,,,,
144870,510,580,1090,,,,,,,,
144880,,,,,,33,25,30,27,28,
144950,590,530,1120,,,,,,,,
145036,590,640,1230,,,,,,,,
145096,690,710,1380,,,32,30,27,33,30,
145214,680,710,1390,,,,,,,,
145391,610,590,1200,,,25,27,27,29,26,
145573,580,580,1160,,,,,,,,
145575,,,,,,31,35,34,36,33,
145593,490,630,1120,,,,,,,,
145660,590,720,1250,,,20,30,20,33,26,
145753,660,690,1350,,,27,27,30,23,27,
145809,700,750,1450,,,33,32,32,24,30,
145827,,,,,,21,25,27,27,24,
145849,740,780,1520,,,,,,,,
145884,740,770,1510,,,36,35,36,35,35,
145952,510,520,1020,,,22,19,18,20,20,
145954,,,,,,34,28,30,28,28,
146023,690,620,1310,,,,,,,,
146101,640,650,1290,,,30,31,31,34,32,
146127,690,650,1340,,,,,,,,
146464,660,590,1250,,,30,27,26,28,28,
146482,660,690,1350,,,,,,,,
146612,610,650,1260,,,26,28,27,28,27,
146632,590,600,1150,,,24,27,25,22,25,
146649,610,620,1230,,,,,,,,
146736,,,,,,32,30,28,29,29,
146947,690,750,1440,,,25,32,32,29,30,
147237,690,780,1470,,,29,33,32,31,31,
147291,640,670,1290,,,31,31,32,31,31,
147485,,,,,,35,34,34,33,34,
147499,740,690,1430,,,,,,,,
147518,,,,,,34,29,36,34,33,
147537,,,,,,24,27,24,25,24,
147708,730,750,1480,,,35,34,32,25,31,
147792,680,710,1330,,,27,28,34,29,28,
148191,,,,,,25,27,29,27,27,
148192,660,590,1250,,,,,,,,
148429,750,750,1470,,,31,29,33,30,31,
148442,620,630,1250,,,29,28,34,30,30,
148503,690,680,1370,,,22,27,32,27,27,
148519,590,660,1250,,,31,32,23,26,28,
148618,550,630,,,,25,27,21,26,24,
148734,620,750,1370,,,,,,,,
149096,590,680,1270,,,,,,,,
149117,620,660,1280,,,,,,,,
149126,560,630,1190,,,,,,,,
149134,600,580,1180,,,,,,,,
149192,610,590,1200,,,,,,,,
149417,720,630,1350,,,,,,,,
149534,560,680,1240,,,,,,,,
149633,600,590,1190,,,24,25,26,25,24,
149837,670,730,1400,,,,,,,,
149887,,,,,,31,30,26,32,30,
150094,540,680,1210,,,,,,,,
150229,560,540,1100,,,,,,,,
150249,,,,,,34,32,31,33,33,
150283,,,,,,35,35,32,35,34,
150285,640,710,1350,,,,,,,,
150437,690,710,1400,,,,,,,,
150468,590,640,1230,,,22,27,25,23,24,
150511,590,650,1240,,,,,,,,
150524,,,,,,32,34,31,31,31,
150570,580,660,1240,,,23,23,26,27,25,
150632,610,670,1220,,,,,,,,
150633,,,,,,28,25,31,27,28,
150672,690,580,1270,,,,,,,,
150679,690,790,1470,,,,,,,,
150699,650,610,1260,,,35,28,25,24,28,
150981,610,620,1230,,,,,,,,
150983,640,680,1320,,,,,,,,
151014,,,,,,32,27,28,25,27,
151114,650,690,1340,,,,,,,,
151192,570,600,1170,,,23,27,26,25,25,
151209,650,740,1390,,,,,,,,
151374,,,,,,25,28,25,33,28,
151447,500,520,1020,,,,,,,,
151477,520,660,1180,,,,,,,,
151517,670,620,1290,,,26,25,32,28,28,
151555,670,660,1330,,,,,,,,
151559,650,750,1400,,,34,36,29,35,34,
151575,,,,,,30,31,34,30,31,
151602,630,600,1230,,,25,24,23,25,24,
151637,670,590,1260,,,31,26,30,23,27,
151651,690,780,1450,,,,,,,,
151708,,,,,,25,24,24,24,23,
151717,,,,,,35,35,36,33,34,
151782,,,,,,32,27,26,30,29,
151783,700,570,1270,,,,,,,,
151828,,,,,,30,25,33,25,27,
151852,730,750,1480,,,35,28,31,32,32,
151892,610,710,1320,,,,,,,,
151895,680,670,1340,,,30,26,26,28,28,
152201,650,650,1300,,,,,,,,
152702,590,580,1170,,,21,19,13,23,19,
152724,610,540,1150,,,,,,,,
152747,620,650,1260,,,,,,,,
152965,520,550,1070,,,23,23,20,25,22,
153010,,,,,,33,33,31,33,31,
153025,640,700,1340,,,,,,,,
153127,700,780,1480,,,,,,,,
153494,540,610,1150,,,,,,,,
153638,620,570,1190,,,25,19,31,25,25,
153701,720,710,1390,,,35,31,34,33,33,
153849,620,610,1200,,,30,26,29,24,26,
153885,690,750,1390,,,,,,,,
153952,610,590,1200,,,,,,,,
153984,660,560,1220,,,,,,,,
153999,660,800,1460,,,,,,,,
154161,650,640,1290,,,25,25,25,24,25,
154257,540,540,1070,,,,,,,,
154511,540,630,1170,,,,,,,,
154527,540,610,1150,,,20,26,24,24,24,
154676,650,610,1260,,,24,26,33,29,28,
154684,460,550,1000,,,,,,,,
154733,510,520,1030,,,,,,,,
154927,,,,,,36,30,35,32,33,
154966,640,600,1240,,,,,,,,
155035,740,710,1420,,,,,,,,
155043,700,790,1490,,,33,33,24,36,32,
155258,570,670,1240,,,22,32,24,28,26,
155427,,,,,,32,34,32,33,33,
155432,710,790,1500,,,,,,,,
156165,570,600,1170,,,,,,,,
156177,510,540,1050,,,,,,,,
156182,570,470,1020,,,,,,,,
156221,620,660,1230,,,21,32,27,33,28,
156302,700,770,1470,,,35,32,35,35,33,
156423,670,710,1380,,,,,,,,
156755,580,580,1160,,,27,25,23,25,25,
156762,500,590,1090,,,20,25,17,19,19,
156784,660,640,1300,,,28,28,34,32,29,
156938,630,660,1250,,,28,29,24,30,28,
156944,700,590,1290,,,24,26,32,25,27,
157247,570,570,1140,,,,,,,,
157275,640,620,1220,,,24,29,28,27,27,
157287,580,600,1180,,,,,,,,
157353,570,540,1110,,,,,,,,
157359,670,640,1310,,,,,,,,
157489,430,420,850,,,,,,,,
157526,610,650,1260,,,26,26,26,28,27,
157627,,,,,,35,32,33,35,34,
157995,750,720,1470,,,,,,,,
158031,730,790,1520,,,,,,,,
158048,670,560,1230,,,24,18,32,25,24,
158283,600,740,1340,,,,,,,,
158382,680,780,1460,,,27,31,36,33,32,
158444,680,770,1450,,,,,,,,
158585,510,550,1050,,,17,22,22,23,21,
158592,620,700,1320,,,28,32,32,35,30,
158608,,,,,,32,26,30,26,27,
158618,630,660,1290,,,25,26,21,24,24,
158619,590,530,1120,,,28,23,25,24,24,
158733,660,650,1270,,,,,,,,
158846,,,,,,33,26,32,33,30,
158877,,,,,,26,25,30,27,26,
158878,620,680,1300,,,27,33,34,34,31,
158900,490,570,1060,,,22,24,25,25,24,
159504,,,,,,29,28,29,29,28,
159556,560,580,1130,,,21,25,22,26,24,
159813,520,550,1040,,,17,23,22,17,20,
159834,670,630,1300,,,34,27,33,26,30,
159851,700,660,1360,,,33,28,28,26,29,
159870,690,680,1360,,,28,28,32,33,30,
160016,590,640,1230,,,,,,,,
160177,,,,,,21,25,25,25,23,
160530,540,520,1060,,,,,,,,
160683,550,550,1080,,,,,,,,
160719,710,790,1450,,,,,,,,
160796,550,590,1090,,,,,,,,
161140,640,730,1370,,,28,32,27,30,29,
161173,580,780,1340,,,,,,,,
161338,580,560,1140,,,22,24,27,23,23,
161668,520,550,1070,,,,,,,,
161674,750,640,1390,,,32,29,36,34,33,
161833,,,,,,27,35,35,33,32,
161905,600,590,1180,,,,,,,,
162111,650,600,1250,,,,,,,,
162120,750,660,1410,,,20,28,31,35,30,
162432,650,670,1320,,,24,26,30,31,27,
162514,580,560,1140,,,,,,,,
162542,590,670,1260,,,,,,,,
162584,540,750,1290,,,,,,,,
162875,690,700,1390,,,,,,,,
162882,590,590,1180,,,,,,,,
162887,540,780,1320,,,,,,,,
162989,640,710,1350,,,,,,,,
163009,700,700,1400,,,,,,,,
163092,540,530,1060,,,16,23,15,17,18,
163113,560,530,1090,,,21,20,29,20,23,
163380,590,590,1180,,,,,,,,
163404,540,570,1110,540,570,,,,,,
163686,650,740,1390,,,,,,,,
163688,710,760,1470,,,,,,,,
163944,510,580,1080,510,580,,,,,,
164044,690,730,1420,,,,,,,,
164073,660,660,1310,,,,,,,,
164194,560,620,1180,,,,,,,,
164259,690,730,1420,,,34,29,33,29,31,
164439,660,630,1280,,,23,24,34,24,26,
164622,580,520,1100,580,520,,,,,,
164818,630,600,1230,,,,,,,,
164847,630,590,1220,,,25,25,24,23,24,
164882,620,680,1300,,,,,,,,
165133,600,690,1290,,,,,,,,
165306,650,790,1390,,,,,,,,
165315,620,580,1200,,,,,,,,
165323,680,660,1340,,,,,,,,
165344,660,800,1380,,,,,,,,
